SOURCE: ISic000086-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Cl  K  6.948458e+02  5.86e+01  0.01646  
Ar  K  6.990010e+02  6.58e+01  0.008366  
K  K  2.333943e+03  6.42e+01  0.01316  
Ca  K  2.091694e+05  4.62e+02  0.6116  
Sc  K  2.358742e+02  1.05e+02  0.0004131  
Ti  K  1.361613e+02  3.25e+01  0.0001415  
V  K  6.814297e-01  2.02e+01  4.39e-07  
Cr  K  4.235900e+01  1.83e+01  1.685e-05  
Mn  K  2.547989e+02  2.33e+01  6.717e-05  
Fe  K  7.570774e+03  9.00e+01  0.001319  
Co  K  5.815533e+01  2.41e+01  7.207e-06  
Ni  K  1.461133e+01  2.35e+01  1.527e-06  
Cu  K  2.347992e+02  2.27e+01  4.242e-05  
Zn  K  5.654797e+02  3.06e+01  8.911e-05  
Ga  K  7.683320e+01  2.03e+01  1.937e-05  
Rb  K  4.903222e+02  6.62e+01  7.845e-05  
Sr  K  4.392837e+03  1.02e+02  0.0006478  
Y  K  4.826608e+02  7.82e+01  6.683e-05  
Zr  K  4.940903e+02  8.78e+01  6.564e-05  
Nb  K  2.945853e+02  8.63e+01  3.837e-05  
Rh  L  1.446895e+01  8.89e+01  0.0002081  
Pd  L  9.245524e+02  1.01e+02  0.01044  
Cs  L  9.836170e+00  3.41e+01  1.46e-05  
Ba  L  1.510347e+01  5.62e+01  1.829e-05  
La  L  5.031651e+01  3.43e+01  4.825e-05  
Ce  L  2.400763e+01  3.91e+01  1.834e-05  
Au  L  2.261302e+02  4.81e+01  7.18e-05  
Hg  L  3.103401e+02  5.31e+01  9.367e-05  
Pb  L  6.627194e+02  6.52e+01  0.0001722  
Th  L  8.022252e+02  1.06e+02  0.0001452  

SOURCE: ISic000086-t-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.474268e+02  3.23e+01  0.2183  
Si  K  9.109009e+01  3.16e+01  0.03476  
P  K  2.636443e+01  4.18e+01  0.003529  
S  K  3.570086e+02  3.98e+01  0.01792  
Cl  K  8.004775e+02  5.84e+01  0.01823  
Ar  K  8.534647e+02  6.27e+01  0.009813  
K  K  2.782763e+03  6.73e+01  0.01507  
Ca  K  1.743516e+05  4.28e+02  0.4896  
Sc  K  7.715940e+01  9.70e+01  0.0001298  
Ti  K  2.967559e+02  3.61e+01  0.0002962  
V  K  6.162974e+01  2.17e+01  3.815e-05  
Cr  K  5.734258e+01  1.85e+01  2.193e-05  
Mn  K  2.695380e+02  2.29e+01  6.832e-05  
Fe  K  9.234630e+03  9.87e+01  0.001548  
Co  K  5.341716e+01  2.40e+01  6.38e-06  
Ni  K  5.659991e+01  2.31e+01  7.196e-06  
Cu  K  3.269998e+02  2.40e+01  5.963e-05  
Zn  K  2.426598e+02  2.35e+01  3.791e-05  
Ga  K  4.501445e+01  2.07e+01  1.55e-05  
Rb  K  4.272388e+02  6.55e+01  6.647e-05  
Sr  K  4.634881e+03  1.04e+02  0.0006643  
Y  K  6.704952e+02  7.88e+01  9.019e-05  
Zr  K  5.779533e+02  8.82e+01  7.458e-05  
Nb  K  3.011714e+02  8.57e+01  3.809e-05  
Rh  L  1.645219e+02  8.71e+01  0.002284  
Pd  L  4.397631e+02  9.36e+01  0.004791  
Cs  L  2.272989e+01  3.40e+01  3.245e-05  
Ba  L  7.175634e+01  5.91e+01  8.359e-05  
La  L  6.130754e+01  3.23e+01  5.655e-05  
Ce  L  1.674111e+02  4.10e+01  0.000123  
Au  L  3.012619e+02  4.91e+01  9.537e-05  
Hg  L  3.280356e+02  5.35e+01  9.645e-05  
Pb  L  4.769057e+02  6.28e+01  0.000122  
Th  L  6.679474e+02  1.04e+02  0.0001175  

SOURCE: ISic000086-t-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  5.824914e+01  3.07e+01  0.09022  
Si  K  1.568390e+02  3.31e+01  0.06272  
P  K  9.249173e+01  4.39e+01  0.013  
S  K  1.090643e+03  4.94e+01  0.05752  
Cl  K  6.212578e+02  5.65e+01  0.01488  
Ar  K  6.882075e+02  6.32e+01  0.008327  
K  K  2.229120e+03  6.26e+01  0.01271  
Ca  K  1.722560e+05  4.20e+02  0.5092  
Sc  K  5.471189e+01  9.55e+01  9.685e-05  
Ti  K  2.401470e+02  3.47e+01  0.0002522  
V  K  5.078648e+01  2.21e+01  3.306e-05  
Cr  K  4.725629e+01  1.90e+01  1.899e-05  
Mn  K  2.109426e+02  2.21e+01  5.615e-05  
Fe  K  8.375862e+03  9.43e+01  0.001473  
Co  K  6.278046e+01  2.44e+01  7.845e-06  
Ni  K  3.507138e+00  2.26e+01  3.362e-07  
Cu  K  3.623143e+02  2.50e+01  6.385e-05  
Zn  K  1.850632e+03  4.86e+01  0.0002895  
Ga  K  9.159280e+00  1.98e+01  1.861e-06  
Rb  K  2.806154e+02  6.37e+01  4.539e-05  
Sr  K  4.804222e+03  1.05e+02  0.0007164  
Y  K  5.122211e+02  7.83e+01  7.174e-05  
Zr  K  2.811381e+02  8.70e+01  3.778e-05  
Nb  K  3.101954e+02  8.70e+01  4.087e-05  
Rh  L  2.842635e+01  8.46e+01  0.0004136  
Pd  L  5.990530e+02  9.53e+01  0.006843  
Cs  L  1.472812e+01  3.53e+01  2.208e-05  
Ba  L  1.168799e+02  6.00e+01  0.000143  
La  L  8.461705e+00  3.24e+01  8.196e-06  
Ce  L  1.550717e+02  4.22e+01  0.0001196  
Au  L  2.853953e+02  5.16e+01  8.972e-05  
Hg  L  2.863868e+02  5.22e+01  8.732e-05  
Pb  L  1.071616e+03  6.90e+01  0.0002786  
Th  L  5.549363e+02  1.03e+02  0.0001016  

SOURCE: ISic000086-t-g.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  3.322539e+01  2.95e+01  0.05112  
Si  K  9.777355e+01  2.99e+01  0.03883  
P  K  1.241528e+01  3.92e+01  0.001732  
S  K  4.221099e+02  3.89e+01  0.0221  
Cl  K  4.936172e+02  5.03e+01  0.01174  
Ar  K  6.758173e+02  5.99e+01  0.008117  
K  K  1.860730e+03  5.76e+01  0.01053  
Ca  K  1.463874e+05  3.88e+02  0.4296  
Sc  K  1.349790e+02  9.04e+01  0.0002372  
Ti  K  1.120261e+02  3.18e+01  0.0001168  
V  K  4.024523e+01  2.09e+01  2.601e-05  
