SOURCE: 0-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Sr  K  3.092244e+01  4.98e+01  1.204e-05  
Y  K  8.298879e-01  1.72e+01  5.679e-07  
Zr  K  5.352576e+04  1.98e+05  0.06824  
Rh  L  6.032733e+04  4.58e+02  0.1779  
Pd  L  3.037606e+02  4.11e+02  0.0006403  
Hg  L  7.630293e+02  1.63e+02  0.0001808  
Pb  L  4.947247e+02  1.84e+02  0.0001385  

SOURCE: 10-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.083449e+03  6.65e+01  0.1178  
P  K  2.619442e+01  5.16e+01  0.0004028  
S  K  3.150797e+03  8.72e+01  0.0147  
Cl  K  3.440264e+03  2.06e+02  0.008008  
Ar  K  4.753979e+01  2.01e+02  6.354e-05  
K  K  5.572347e+04  2.70e+02  0.03754  
Ca  K  1.402779e+05  4.07e+02  0.07065  
Sc  K  6.070589e+00  1.36e+02  2.82e-06  
Ti  K  3.423560e+03  1.08e+02  0.001103  
V  K  2.822245e+01  9.68e+01  7.131e-06  
Cr  K  7.810658e+03  1.40e+02  0.00146  
Mn  K  1.714174e+03  1.22e+02  0.0002777  
Fe  K  1.679795e+05  4.44e+02  0.02306  
Co  K  9.167215e+02  1.45e+02  0.0001132  
Ni  K  1.174339e+03  1.17e+02  0.0001383  
Cu  K  6.507768e+02  1.08e+02  7.311e-05  
Zn  K  1.063127e+03  1.12e+02  0.0001175  
As  K  2.838366e+02  1.49e+02  3.436e-05  
Rb  K  2.509876e+01  6.67e+01  6.802e-06  
Sr  K  2.702946e+01  4.86e+01  1.033e-05  
Y  K  1.385996e-01  1.60e+01  9.31e-08  
Zr  K  8.662212e+04  1.90e+05  0.1084  
Rh  L  5.968134e+04  4.60e+02  0.1771  
Pd  L  1.312086e+02  4.14e+02  0.0002782  
Hg  L  6.037084e+02  1.59e+02  0.0001405  
Pb  L  4.340922e+02  1.76e+02  0.0001193  

SOURCE: 10-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.089815e+03  6.60e+01  0.1181  
P  K  5.043479e+00  5.09e+01  7.754e-05  
S  K  3.112714e+03  8.76e+01  0.01451  
Cl  K  2.840116e+03  2.03e+02  0.006606  
Ar  K  3.107019e+02  2.00e+02  0.0004149  
K  K  5.494661e+04  2.69e+02  0.03697  
Ca  K  1.409940e+05  4.08e+02  0.07079  
Sc  K  9.933751e+01  1.37e+02  4.608e-05  
Ti  K  3.126640e+03  1.08e+02  0.001005  
V  K  1.449660e-01  9.69e+01  3.657e-08  
Cr  K  7.319298e+03  1.39e+02  0.001365  
Mn  K  1.513196e+03  1.22e+02  0.0002447  
Fe  K  1.696337e+05  4.46e+02  0.02325  
Co  K  8.996898e+02  1.47e+02  0.0001109  
Ni  K  1.310690e+03  1.19e+02  0.0001543  
Cu  K  2.727138e+02  1.07e+02  3.062e-05  
Zn  K  1.067576e+03  1.13e+02  0.000118  
As  K  2.059805e+02  1.49e+02  2.493e-05  
Rb  K  1.866488e+01  6.61e+01  5.057e-06  
Sr  K  7.890755e+00  4.89e+01  3.015e-06  
Y  K  2.688779e-01  1.57e+01  1.806e-07  
Zr  K  3.755460e+05  2.06e+05  0.4698  
Rh  L  5.991726e+04  4.57e+02  0.1776  
Pd  L  8.183914e+00  4.11e+02  1.733e-05  
Hg  L  5.865121e+02  1.61e+02  0.0001365  
Pb  L  3.537700e+02  1.77e+02  9.719e-05  

SOURCE: 20-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.796356e+03  6.59e+01  0.1014  
P  K  1.225305e+01  5.80e+01  0.0001734  
S  K  3.419824e+03  9.23e+01  0.01471  
Cl  K  2.654084e+03  2.04e+02  0.005731  
Ar  K  5.695831e+01  2.07e+02  7.146e-05  
K  K  5.156233e+04  2.64e+02  0.03285  
Ca  K  2.509842e+05  5.30e+02  0.124  
Sc  K  1.180888e+00  1.62e+02  6.37e-07  
Ti  K  2.775093e+03  1.06e+02  0.001041  
V  K  1.279605e+01  9.58e+01  3.775e-06  
Cr  K  7.304625e+03  1.37e+02  0.001594  
Mn  K  1.377831e+03  1.18e+02  0.0002588  
