SOURCE: ISic000655-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
SOURCE: ISic000655-t-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.028476e+02  3.51e+01  0.005418  
P  K  5.004768e+01  4.93e+01  0.0004741  
S  K  1.318596e+02  4.21e+01  0.0003819  
Cl  K  1.171272e+02  5.40e+01  0.0001723  
Ar  K  6.241588e+02  6.94e+01  0.000548  
K  K  7.553317e+02  5.56e+01  0.0003379  
Ca  K  2.644465e+05  5.19e+02  0.1119  
Sc  K  1.085505e+02  1.08e+02  8.778e-05  
Ti  K  1.402409e+02  2.64e+01  7.933e-05  
V  K  3.869190e+01  1.80e+01  1.73e-05  
Cr  K  1.768835e+01  1.54e+01  5.844e-06  
Mn  K  9.345091e+01  1.81e+01  2.588e-05  
Fe  K  2.297318e+03  5.20e+01  0.0005298  
Co  K  9.716853e+00  1.76e+01  1.99e-06  
Ni  K  2.561823e+01  2.44e+01  4.509e-06  
Cu  K  3.199037e+02  2.45e+01  5.373e-05  
Zn  K  2.526886e+02  2.42e+01  4.18e-05  
As  K  2.150221e+02  3.56e+01  3.902e-05  
Rb  K  1.425627e+02  6.47e+01  5.794e-05  
Sr  K  1.840659e+04  2.72e+02  0.01055  
Y  K  2.443206e+02  8.51e+01  0.000246  
Zr  K  7.988890e+05  9.02e+05  1.498  
Rh  L  6.044067e+01  8.91e+01  0.0001156  
Pd  L  4.803916e+02  1.04e+02  0.0006597  

SOURCE: ISic000655-t-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.370619e+01  3.39e+01  0.00124  
P  K  3.277973e+01  5.02e+01  0.000292  
S  K  1.278807e+02  4.12e+01  0.0003477  
Cl  K  8.495112e+01  5.16e+01  0.0001175  
Ar  K  6.544465e+02  6.68e+01  0.0005428  
K  K  7.288666e+02  5.47e+01  0.0003093  
Ca  K  2.667032e+05  5.21e+02  0.1122  
Sc  K  5.954520e+01  1.06e+02  5.005e-05  
Ti  K  7.141407e+01  2.34e+01  4.201e-05  
V  K  2.126598e+01  1.67e+01  9.893e-06  
Cr  K  4.177058e+01  1.62e+01  1.436e-05  
Mn  K  1.513113e+01  1.45e+01  4.358e-06  
Fe  K  1.139844e+03  3.76e+01  0.0002734  
Co  K  7.379255e+00  1.45e+01  1.571e-06  
Ni  K  5.756660e+01  2.60e+01  1.052e-05  
Cu  K  2.829418e+02  2.35e+01  4.935e-05  
Zn  K  1.610151e+02  2.20e+01  2.766e-05  
As  K  1.730170e+02  3.55e+01  3.261e-05  
Rb  K  2.370202e+02  6.61e+01  0.0001001  
Sr  K  6.950992e+03  2.24e+02  0.00414  
Y  K  1.653793e+02  8.70e+01  0.000173  
Zr  K  7.765345e+05  8.00e+05  1.513  
Rh  L  5.551346e+01  8.61e+01  0.0001002  
Pd  L  3.299837e+02  9.90e+01  0.0004281  

SOURCE: ISic000656-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.700609e+02  3.57e+01  0.008998  
P  K  6.544373e-01  4.71e+01  6.55e-06  
S  K  1.623830e+02  4.10e+01  0.0004981  
Cl  K  1.197077e+02  5.23e+01  0.0001861  
Ar  K  5.731779e+02  6.81e+01  0.0005298  
K  K  1.015034e+03  5.74e+01  0.0004762  
Ca  K  2.342195e+05  5.34e+02  0.09944  
