SOURCE: ISic000065-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Zr  K  1.251104e+03  1.07e+02  0.0001669  
Rh  K  1.525821e+04  3.79e+03  0.00345  
Rh  L  1.816804e+02  8.38e+01  0.002624  
Pd  K  1.220943e+04  5.48e+02  0.003019  
Pd  L  1.001363e+03  1.00e+02  0.01135  
Sn  K  1.486374e+03  1.06e+02  0.0006564  
Ba  L  2.026946e+02  5.68e+01  0.0002464  
Au  L  1.520346e+02  5.75e+01  4.866e-05  
Hg  L  1.743952e+02  6.15e+01  5.288e-05  
Pb  L  7.070745e+02  1.26e+02  0.0001848  

SOURCE: ISic000284-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.862225e+02  3.93e+01  0.01478  
Cl  K  2.825312e+02  4.87e+01  0.006622  
Ar  K  1.078014e+03  6.47e+01  0.01276  
K  K  1.769656e+03  5.86e+01  0.009869  
Ca  K  2.171343e+05  4.71e+02  0.6279  
Sc  K  5.644354e+01  1.07e+02  9.775e-05  
Ti  K  5.843240e+02  4.24e+01  0.0006005  
V  K  7.995060e+00  2.49e+01  5.095e-06  
Cr  K  8.292161e+01  2.12e+01  3.264e-05  
Mn  K  2.746789e+03  6.09e+01  0.0007165  
Fe  K  2.755125e+04  1.70e+02  0.004752  
Co  K  5.320732e+01  3.61e+01  6.531e-06  
Ni  K  1.681059e+02  3.09e+01  1.892e-05  
Cu  K  5.445523e+02  3.04e+01  9.944e-05  
Zn  K  8.176044e+02  3.60e+01  0.0001291  
As  K  4.698173e+01  6.75e+01  1.396e-05  
Rb  K  5.808810e+02  7.24e+01  9.222e-05  
Sr  K  1.035023e+04  1.37e+02  0.001514  
Y  K  5.170915e+02  8.48e+01  7.102e-05  
Zr  K  1.005796e+03  1.03e+02  0.0001325  
Rh  K  1.243625e+04  3.63e+03  0.002777  
Rh  L  2.096403e+02  7.79e+01  0.002986  
Pd  K  1.072415e+04  5.20e+02  0.002618  
Pd  L  5.900989e+02  9.00e+01  0.006599  
Sn  K  1.171811e+03  1.01e+02  0.0005109  
Ba  L  5.978546e+01  5.25e+01  7.164e-05  
Au  L  2.286781e+02  5.26e+01  7.29e-05  
Hg  L  3.349245e+02  5.87e+01  0.0001004  
Pb  L  8.565891e+02  1.21e+02  0.0002221  

SOURCE: ISic000284-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.813640e+02  3.84e+01  0.009305  
Cl  K  3.532722e+02  5.07e+01  0.008225  
Ar  K  8.954406e+02  6.55e+01  0.01053  
K  K  1.294244e+03  5.38e+01  0.007169  
Ca  K  2.190785e+05  4.73e+02  0.6292  
Sc  K  9.844384e+01  1.05e+02  0.0001693  
Ti  K  3.743719e+02  3.87e+01  0.0003821  
V  K  5.124613e+01  2.58e+01  3.244e-05  
Cr  K  9.545686e+01  2.29e+01  3.732e-05  
Mn  K  2.074946e+03  5.48e+01  0.0005377  
Fe  K  7.981758e+04  2.85e+02  0.01368  
Co  K  3.449145e+02  5.30e+01  4.208e-05  
Ni  K  2.370351e+02  3.05e+01  2.8e-05  
Cu  K  8.920949e+02  3.54e+01  0.0001637  
Zn  K  1.023012e+03  3.81e+01  0.0001616  
As  K  5.625451e+01  6.64e+01  1.666e-05  
Rb  K  3.246340e+02  6.80e+01  5.135e-05  
Sr  K  6.288870e+03  1.15e+02  0.0009165  
Y  K  6.102416e+02  8.25e+01  8.348e-05  
Zr  K  8.180291e+02  9.46e+01  0.0001074  
Rh  K  1.053872e+04  3.40e+03  0.002343  
Rh  L  6.747330e+01  8.01e+01  0.0009557  
Pd  K  9.649743e+03  4.85e+02  0.002346  
Pd  L  9.203772e+02  9.54e+01  0.01023  
Sn  K  1.140009e+03  9.79e+01  0.0004948  
Ba  L  9.668709e+00  5.26e+01  1.151e-05  
Au  L  1.961800e+02  5.33e+01  6.266e-05  
Hg  L  3.277141e+02  6.09e+01  9.79e-05  
Pb  L  8.703764e+02  1.18e+02  0.0002255  

SOURCE: ISic000284-t-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  7.454065e+01  3.42e+01  0.00396  
Cl  K  1.057756e+02  4.21e+01  0.002551  
Ar  K  5.830435e+02  5.71e+01  0.007104  
K  K  2.927542e+03  6.77e+01  0.01681  
Ca  K  8.136699e+04  2.93e+02  0.2422  
Sc  K  1.472963e+02  7.83e+01  0.0002626  
Ti  K  5.004819e+03  9.58e+01  0.005293  
V  K  9.612052e+01  5.08e+01  6.304e-05  
Cr  K  2.765940e+02  3.73e+01  0.000112  
Mn  K  4.077402e+03  7.84e+01  0.001094  
Fe  K  2.762334e+05  5.28e+02  0.04896  
Co  K  9.928331e+02  8.17e+01  0.0001251  
Ni  K  6.469595e+02  3.67e+01  6.602e-05  
Cu  K  5.457929e+02  3.14e+01  9.905e-05  
Zn  K  1.738884e+03  4.85e+01  0.0002769  
As  K  4.029547e+00  7.02e+01  1.226e-06  
Rb  K  2.770675e+03  9.28e+01  0.0004509  
Sr  K  1.961969e+04  1.73e+02  0.002943  
Y  K  2.592500e+03  1.02e+02  0.0003652  
Zr  K  7.087303e+03  1.40e+02  0.0009581  
Rh  K  1.034391e+04  3.48e+03  0.00237  
Rh  L  3.020127e-01  6.74e+01  4.422e-06  
Pd  K  8.985889e+03  4.86e+02  0.002252  
Pd  L  5.268974e+02  8.19e+01  0.006058  
Sn  K  8.322746e+02  1.01e+02  0.0003726  
Ba  L  2.154386e+02  9.73e+01  0.0002655  
Au  L  2.778476e+02  5.64e+01  8.907e-05  
Hg  L  2.043628e+02  6.88e+01  6.273e-05  
Pb  L  6.894136e+02  1.30e+02  0.0001815  

SOURCE: ISic000284-t-e.csv
KEY: 1.1.00001.1
