SOURCE: HAL18-tK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Si  K  1.148523e+02  2.86e+01  0.04468  
P  K  1.612545e+02  3.98e+01  0.02202  
S  K  2.069286e+02  3.36e+01  0.0106  
Cl  K  3.744223e+01  4.08e+01  0.0008704  
Ar  K  6.121592e+02  5.43e+01  0.007186  
K  K  8.645101e+02  4.51e+01  0.004782  
Ca  K  1.400194e+05  3.79e+02  0.4015  
Sc  K  4.398139e+02  8.94e+01  0.0007554  
Ti  K  1.217488e+01  2.88e+01  1.241e-05  
V  K  2.982632e+01  1.92e+01  1.885e-05  
Cr  K  8.259359e+02  3.66e+01  0.0003224  
Mn  K  4.713599e+02  3.02e+01  0.000122  
Fe  K  2.832038e+03  5.68e+01  0.0004845  
Co  K  1.483844e+01  1.73e+01  1.807e-06  
Ni  K  4.604943e+01  2.18e+01  5.29e-06  
Cu  K  2.623169e+02  2.31e+01  4.78e-05  
Zn  K  3.410854e+02  2.63e+01  5.361e-05  
Ga  K  1.526674e+01  2.15e+01  4.59e-06  
As  K  5.804985e+01  6.74e+01  1.714e-05  
Rb  K  2.589278e+02  6.61e+01  4.083e-05  
Sr  K  2.197351e+04  1.79e+02  0.003193  
Y  K  6.463617e+02  8.10e+01  8.817e-05  
Zr  K  2.174252e+02  1.03e+02  2.845e-05  
Nb  K  2.108705e+02  8.59e+01  2.705e-05  
Rh  L  1.939063e+02  7.02e+01  0.002741  
Pd  L  3.910023e+02  7.96e+01  0.004338  
Cs  L  3.234438e+01  3.32e+01  4.711e-05  
Ba  L  3.155277e+01  5.80e+01  3.75e-05  
La  L  6.378373e+01  3.28e+01  6.003e-05  
Ce  L  5.885390e+01  4.60e+01  4.412e-05  
Au  L  1.569453e+02  5.04e+01  4.985e-05  
Hg  L  2.274583e+02  5.49e+01  6.773e-05  
Pb  L  9.902946e+02  1.20e+02  0.0002555  
Th  L  8.086840e+02  1.11e+02  0.0001442  

SOURCE: ISic000584-tK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  3.847616e+01  2.95e+01  0.05787  
Si  K  6.028587e+01  2.89e+01  0.02338  
P  K  2.094503e+01  3.78e+01  0.002851  
S  K  8.325367e+01  3.22e+01  0.00425  
Cl  K  6.958515e+01  4.11e+01  0.001612  
Ar  K  6.305730e+02  5.47e+01  0.007378  
K  K  8.280772e+02  4.36e+01  0.004565  
Ca  K  1.324014e+05  3.68e+02  0.3784  
Sc  K  4.308444e+02  8.69e+01  0.0007376  
Ti  K  4.505409e+01  2.98e+01  4.577e-05  
V  K  2.254159e+01  1.87e+01  1.42e-05  
Cr  K  8.491817e+02  3.70e+01  0.0003304  
Mn  K  4.447402e+02  3.05e+01  0.0001147  
Fe  K  3.211818e+03  6.07e+01  0.0005477  
Co  K  3.331148e+01  1.97e+01  4.044e-06  
Ni  K  3.145891e+01  2.24e+01  3.642e-06  
Cu  K  2.267123e+02  2.25e+01  4.127e-05  
Zn  K  2.801270e+02  2.49e+01  4.395e-05  
Ga  K  4.723692e+01  2.19e+01  1.438e-05  
As  K  1.002901e+02  6.59e+01  2.953e-05  
Rb  K  4.677037e+02  6.73e+01  7.356e-05  
Sr  K  2.082676e+04  1.75e+02  0.003018  
Y  K  5.753697e+02  7.93e+01  7.827e-05  
Zr  K  5.266540e+02  1.02e+02  6.874e-05  
Nb  K  4.910377e+02  8.59e+01  6.282e-05  
Rh  L  1.128454e+02  6.92e+01  0.00159  
Pd  L  2.977397e+02  7.91e+01  0.003294  
Cs  L  3.756449e+01  3.12e+01  5.454e-05  
Ba  L  1.038698e+01  5.85e+01  1.231e-05  
La  L  4.280971e+01  3.12e+01  4.016e-05  
Ce  L  6.873013e+01  4.54e+01  5.136e-05  
Au  L  1.595212e+02  5.08e+01  5.059e-05  
Hg  L  2.261941e+02  5.60e+01  6.718e-05  
Pb  L  9.017697e+02  1.18e+02  0.0002321  
Th  L  5.514920e+02  1.07e+02  9.81e-05  

SOURCE: ISic000612-tK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  9.467048e+01  3.00e+01  0.1426  
Si  K  7.164143e+01  2.79e+01  0.02782  
P  K  5.190545e+01  3.58e+01  0.007074  
S  K  1.479910e+02  3.20e+01  0.007564  
Cl  K  8.624805e+01  3.98e+01  0.002001  
Ar  K  5.245390e+02  5.28e+01  0.006145  
K  K  1.052814e+03  4.62e+01  0.005811  
Ca  K  1.009151e+05  3.23e+02  0.2888  
Sc  K  2.513756e+02  8.00e+01  0.0004308  
Ti  K  3.205940e+02  4.03e+01  0.0003261  
V  K  1.725127e+01  2.31e+01  1.088e-05  
Cr  K  9.123789e+02  3.96e+01  0.0003554  
Mn  K  1.121685e+03  4.28e+01  0.0002896  
Fe  K  2.190925e+04  1.51e+02  0.003741  
Co  K  1.288349e+02  3.18e+01  1.566e-05  
Ni  K  3.328189e+01  2.30e+01  3.847e-06  
Cu  K  3.134455e+02  2.43e+01  5.709e-05  
Zn  K  3.924816e+02  2.68e+01  6.163e-05  
Ga  K  8.531562e+01  2.27e+01  2.59e-05  
As  K  1.947266e+02  6.89e+01  5.739e-05  
Rb  K  8.520959e+02  7.12e+01  0.0001342  
Sr  K  3.428329e+04  2.13e+02  0.004973  
Y  K  4.896647e+02  8.06e+01  6.668e-05  
Zr  K  9.029277e+02  1.15e+02  0.000118  
Nb  K  3.917154e+02  8.60e+01  5.017e-05  
Rh  L  7.925492e+01  6.71e+01  0.001118  
Pd  L  3.758436e+02  7.90e+01  0.004162  
Cs  L  8.439355e+00  3.60e+01  1.227e-05  
Ba  L  8.391159e+01  6.99e+01  9.953e-05  
La  L  3.540280e+01  3.73e+01  3.325e-05  
Ce  L  8.274913e-01  5.14e+01  6.191e-07  
Au  L  1.731815e+02  5.11e+01  5.496e-05  
Hg  L  2.446229e+02  5.79e+01  7.273e-05  
Pb  L  1.369886e+03  1.23e+02  0.000353  
Th  L  7.296362e+02  1.10e+02  0.0001299  

SOURCE: ISic000612-tK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.499659e+02  3.02e+01  0.2221  
Si  K  8.380675e+01  2.86e+01  0.03199  
P  K  1.383683e+01  3.57e+01  0.001853  
S  K  1.295176e+02  3.21e+01  0.006502  
Cl  K  1.057148e+02  4.00e+01  0.002408  
Ar  K  5.232118e+02  5.37e+01  0.006017  
K  K  8.376686e+02  4.34e+01  0.004539  
Ca  K  1.091183e+05  3.35e+02  0.3065  
Sc  K  3.327511e+02  8.31e+01  0.0005598  
Ti  K  2.197778e+02  3.76e+01  0.0002194  
V  K  3.747416e+01  2.27e+01  2.32e-05  
Cr  K  8.517949e+02  3.84e+01  0.0003258  
Mn  K  1.290065e+03  4.43e+01  0.0003271  
Fe  K  2.072729e+04  1.47e+02  0.003476  
Co  K  1.222137e+02  3.14e+01  1.46e-05  
Ni  K  5.239073e+01  2.28e+01  6.662e-06  
Cu  K  3.271115e+02  2.49e+01  5.966e-05  
Zn  K  2.431695e+02  2.45e+01  3.8e-05  
Ga  K  7.538113e+01  2.27e+01  2.596e-05  
As  K  4.888691e+01  6.65e+01  1.426e-05  
Rb  K  8.086317e+02  7.11e+01  0.0001258  
Sr  K  3.328074e+04  2.12e+02  0.004771  
Y  K  4.708561e+02  8.03e+01  6.335e-05  
Zr  K  9.644792e+02  1.16e+02  0.0001245  
Nb  K  2.253137e+02  8.52e+01  2.85e-05  
Rh  L  2.219026e+01  6.56e+01  0.0003082  
Pd  L  4.748124e+02  7.93e+01  0.005175  
Cs  L  2.288120e+01  3.56e+01  3.267e-05  
Ba  L  3.715066e+01  6.81e+01  4.329e-05  
La  L  2.238147e+01  3.58e+01  2.065e-05  
Ce  L  9.241289e+01  5.14e+01  6.791e-05  
Au  L  2.378567e+02  5.14e+01  7.531e-05  
Hg  L  2.835683e+02  5.73e+01  8.34e-05  
Pb  L  8.054088e+02  1.17e+02  0.0002061  
Th  L  6.929615e+02  1.10e+02  0.0001219  

SOURCE: ISic000768-tK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  9.611082e+01  2.95e+01  0.14  
Si  K  3.519695e+01  2.82e+01  0.01321  
P  K  9.339902e+01  4.06e+01  0.01229  
S  K  8.295135e+01  3.29e+01  0.004091  
Cl  K  2.067814e+02  4.34e+01  0.004626  
Ar  K  1.958566e+02  4.92e+01  0.002212  
K  K  5.917126e+02  4.10e+01  0.003147  
Ca  K  1.577194e+05  4.02e+02  0.4349  
Sc  K  1.831545e+02  9.23e+01  0.0003025  
Ti  K  9.320733e-01  2.76e+01  9.135e-07  
V  K  8.751675e+00  1.82e+01  5.32e-06  
Cr  K  9.310582e+02  3.81e+01  0.0003496  
Mn  K  2.537842e+01  1.93e+01  6.319e-06  
Fe  K  4.105730e+02  2.52e+01  6.764e-05  
Co  K  2.458900e+01  1.41e+01  2.887e-06  
Ni  K  8.149156e+01  2.28e+01  1.143e-05  
Cu  K  2.239752e+02  2.17e+01  4.076e-05  
Zn  K  9.806018e+01  1.95e+01  1.522e-05  
Ga  K  2.140523e+01  2.01e+01  8.128e-06  
As  K  2.871205e+01  6.42e+01  8.291e-06  
Rb  K  3.877324e+02  6.77e+01  5.968e-05  
Sr  K  6.015072e+03  1.17e+02  0.0008527  
Y  K  2.861092e+02  7.86e+01  3.806e-05  
Zr  K  4.467451e+02  9.13e+01  5.701e-05  
Nb  K  2.984763e+02  8.76e+01  3.733e-05  
Rh  L  8.479927e+00  6.84e+01  0.000116  
Pd  L  5.905798e+02  7.91e+01  0.006336  
Cs  L  3.805453e+00  3.19e+01  5.338e-06  
Ba  L  2.951712e+00  5.79e+01  3.378e-06  
La  L  3.088310e+01  3.08e+01  2.799e-05  
Ce  L  2.976164e+01  4.62e+01  2.148e-05  
Au  L  2.554586e+02  5.14e+01  8.055e-05  
Hg  L  2.460176e+02  5.53e+01  7.162e-05  
Pb  L  4.343692e+02  1.15e+02  0.0001103  
Th  L  7.321192e+02  1.11e+02  0.0001274  

SOURCE: ISic000768-tK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.528611e+02  3.16e+01  0.2184  
Si  K  8.337753e+01  3.00e+01  0.03066  
P  K  1.432739e+02  4.33e+01  0.01846  
S  K  1.632964e+02  3.59e+01  0.007886  
Cl  K  1.088166e+02  4.39e+01  0.002383  
Ar  K  2.430282e+02  5.33e+01  0.002686  
K  K  7.801066e+02  4.53e+01  0.00406  
Ca  K  1.853929e+05  4.35e+02  0.5002  
Sc  K  2.097450e+02  9.96e+01  0.0003389  
Ti  K  9.262538e+01  3.17e+01  8.881e-05  
V  K  1.519759e+01  1.87e+01  9.038e-06  
Cr  K  9.337135e+02  3.90e+01  0.0003431  
Mn  K  9.466770e+01  2.17e+01  2.307e-05  
Fe  K  4.531412e+02  2.72e+01  7.308e-05  
Co  K  1.235435e+01  1.47e+01  1.421e-06  
Ni  K  1.371336e+01  2.39e+01  2.238e-06  
Cu  K  2.978892e+02  2.39e+01  5.405e-05  
Zn  K  4.790923e+01  1.93e+01  7.385e-06  
Ga  K  2.462116e+01  2.26e+01  1.046e-05  
As  K  2.707955e+02  6.64e+01  7.745e-05  
Rb  K  3.652570e+02  7.04e+01  5.561e-05  
Sr  K  7.485381e+03  1.26e+02  0.001049  
Y  K  4.732176e+02  8.40e+01  6.223e-05  
Zr  K  3.462871e+02  9.62e+01  4.368e-05  
Nb  K  3.466029e+02  9.30e+01  4.284e-05  
Rh  L  1.129996e+02  7.36e+01  0.001519  
Pd  L  6.866358e+02  8.60e+01  0.007238  
Cs  L  2.637292e+01  3.47e+01  3.624e-05  
Ba  L  1.585359e+02  6.22e+01  0.0001777  
La  L  2.338947e+01  3.12e+01  2.075e-05  
Ce  L  1.955003e+02  5.08e+01  0.0001382  
Au  L  3.392076e+02  5.52e+01  0.0001065  
Hg  L  3.544305e+02  5.95e+01  0.0001021  
Pb  L  7.821603e+02  1.23e+02  0.0001972  
Th  L  1.013333e+03  1.17e+02  0.0001744  

SOURCE: ISic000768-tK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.321835e+02  3.09e+01  0.1876  
Si  K  4.076704e+01  2.89e+01  0.01489  
P  K  7.889642e+01  4.19e+01  0.0101  
S  K  1.292481e+02  3.42e+01  0.006199  
Cl  K  1.005664e+02  4.16e+01  0.002187  
Ar  K  1.670355e+02  5.32e+01  0.001833  
K  K  7.237978e+02  4.39e+01  0.003741  
Ca  K  1.798825e+05  4.29e+02  0.4819  
Sc  K  4.252245e+02  9.94e+01  0.0006822  
Ti  K  2.240960e+01  2.83e+01  2.133e-05  
V  K  2.273216e+01  1.92e+01  1.342e-05  
Cr  K  8.516480e+02  3.78e+01  0.0003107  
Mn  K  2.262506e+01  1.94e+01  5.474e-06  
