SOURCE: t0-10CC-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
P  K  2.312448e+01  3.66e+01  0.003211  
S  K  1.300824e+02  3.60e+01  0.006774  
Cl  K  5.894994e+01  4.44e+01  0.001393  
Ar  K  3.901651e+02  5.54e+01  0.004658  
K  K  6.363274e+03  9.32e+01  0.03579  
Ca  K  2.866467e+04  1.78e+02  0.08359  
Sc  K  6.230439e+01  5.22e+01  0.0001088  
Ti  K  3.940119e+02  4.61e+01  0.0004083  
V  K  2.092963e+01  3.00e+01  1.345e-05  
Cr  K  1.207278e+02  2.84e+01  4.792e-05  
Mn  K  3.659822e+02  3.15e+01  9.628e-05  
Fe  K  4.955730e+04  2.25e+02  0.00862  
Co  K  3.619033e+02  4.72e+01  4.48e-05  
Ni  K  2.031516e+01  2.13e+01  2.317e-06  
Cu  K  4.925963e+02  3.06e+01  9.081e-05  
Zn  K  7.213435e+02  3.63e+01  0.0001149  
Ga  K  4.946759e+02  3.57e+01  0.0001459  
As  K  3.535722e+02  8.34e+01  0.000106  
Rb  K  1.550705e+04  1.60e+02  0.002484  
Sr  K  1.204289e+04  1.50e+02  0.001777  
Y  K  6.799713e+03  1.45e+02  0.0009421  
Zr  K  1.401603e+04  1.74e+02  0.001863  
Nb  K  2.336922e+03  1.26e+02  0.0003045  
Rh  L  3.307395e+01  7.13e+01  0.0004751  
Pd  L  3.632659e+02  8.40e+01  0.004097  
Cs  L  1.311148e+01  4.57e+01  1.942e-05  
Ba  L  8.544330e+01  8.32e+01  0.0001033  
La  L  1.618897e-01  4.85e+01  1.549e-07  
Ce  L  1.934067e+02  6.17e+01  0.0001474  
Au  L  3.183981e+02  6.28e+01  0.0001025  
Hg  L  2.578296e+02  7.81e+01  7.796e-05  
Pb  L  1.367702e+03  1.45e+02  0.0003579  
Th  L  2.178795e+03  1.44e+02  0.0003947  

SOURCE: t0-20CC-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.354968e+02  3.92e+01  0.2087  
Si  K  1.023965e+03  4.93e+01  0.4069  
P  K  1.042098e+01  3.67e+01  0.001454  
S  K  2.279818e+01  3.36e+01  0.001193  
Cl  K  3.699362e-01  4.35e+01  8.789e-06  
Ar  K  3.042968e+02  5.45e+01  0.003651  
K  K  6.234008e+03  9.04e+01  0.03524  
Ca  K  2.876443e+04  1.79e+02  0.08432  
Sc  K  1.461292e-02  5.24e+01  2.565e-08  
Ti  K  3.865234e+02  4.59e+01  0.0004026  
V  K  9.283096e-01  2.80e+01  5.997e-07  
Cr  K  3.545506e+01  2.57e+01  1.414e-05  
Mn  K  4.055645e+02  3.18e+01  0.0001072  
Fe  K  4.876905e+04  2.24e+02  0.008524  
Co  K  3.829007e+02  4.72e+01  4.762e-05  
Ni  K  4.271793e+01  2.26e+01  4.741e-06  
Cu  K  4.595038e+02  3.02e+01  8.452e-05  
Zn  K  7.955926e+02  3.72e+01  0.0001268  
Ga  K  5.365156e+02  3.62e+01  0.0001508  
As  K  5.331740e+02  8.36e+01  0.0001603  
Rb  K  1.623835e+04  1.62e+02  0.00261  
Sr  K  1.215167e+04  1.50e+02  0.0018  
Y  K  6.805741e+03  1.45e+02  0.0009465  
Zr  K  1.421637e+04  1.75e+02  0.001897  
Nb  K  2.539440e+03  1.26e+02  0.0003322  
Rh  L  1.831906e+02  7.43e+01  0.002644  
Pd  L  4.499815e+02  8.59e+01  0.005098  
Cs  L  3.676637e-01  4.54e+01  5.471e-07  
Ba  L  4.160206e-01  8.12e+01  5.052e-07  
La  L  1.305875e+02  4.91e+01  0.0001256  
Ce  L  1.942973e+02  6.05e+01  0.0001488  
Au  L  1.605217e+02  6.19e+01  5.164e-05  
Hg  L  5.048777e+01  7.63e+01  1.532e-05  
Pb  L  1.313703e+03  1.45e+02  0.0003443  
Th  L  2.349471e+03  1.44e+02  0.0004272  

SOURCE: t0-20CC-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.466540e+02  3.83e+01  0.2258  
Si  K  9.979412e+02  4.86e+01  0.3962  
P  K  1.374406e+00  3.65e+01  0.0001916  
S  K  8.331342e+01  3.51e+01  0.004357  
Cl  K  6.433668e+01  4.37e+01  0.001527  
Ar  K  4.431067e+02  5.46e+01  0.005312  
K  K  6.031470e+03  8.93e+01  0.03407  
Ca  K  2.833882e+04  1.77e+02  0.083  
Sc  K  9.969372e+01  5.36e+01  0.0001749  
Ti  K  3.068755e+02  4.54e+01  0.0003194  
V  K  7.275297e-01  2.88e+01  4.696e-07  
Cr  K  8.044347e+01  2.74e+01  3.206e-05  
Mn  K  4.150066e+02  3.26e+01  0.0001096  
Fe  K  5.026789e+04  2.27e+02  0.008779  
Co  K  4.257015e+02  4.75e+01  5.29e-05  
Ni  K  2.875821e+01  2.17e+01  3.204e-06  
Cu  K  4.278877e+02  3.02e+01  7.872e-05  
