SOURCE: ISic000655-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Si  K  1.205149e+02  3.46e+01  0.0456  
P  K  1.011583e+02  4.99e+01  0.01342  
S  K  1.473169e+02  4.04e+01  0.007328  
Cl  K  2.222343e+02  5.20e+01  0.005014  
Ar  K  7.984717e+02  6.91e+01  0.009095  
K  K  1.320654e+03  5.58e+01  0.007086  
Ca  K  2.698514e+05  5.28e+02  0.7506  
Sc  K  2.073435e+02  1.13e+02  0.0003454  
Ti  K  1.032763e+02  3.03e+01  0.0001021  
V  K  8.240230e+00  1.86e+01  5.053e-06  
Cr  K  9.812342e+01  1.95e+01  3.717e-05  
Mn  K  7.143383e+01  1.69e+01  1.794e-05  
Fe  K  1.438483e+03  4.19e+01  0.000239  
Co  K  3.431091e+01  1.72e+01  4.063e-06  
Ni  K  5.023153e+00  2.37e+01  7.036e-07  
Cu  K  3.117864e+02  2.42e+01  5.716e-05  
Zn  K  1.429811e+02  2.08e+01  2.237e-05  
Ga  K  1.050519e+02  2.27e+01  3.988e-05  
As  K  2.635639e+01  6.25e+01  7.672e-06  
Rb  K  3.430375e+02  6.71e+01  5.322e-05  
Sr  K  7.564263e+03  1.21e+02  0.001081  
Y  K  3.337576e+02  8.05e+01  4.476e-05  
Zr  K  2.699702e+02  9.36e+01  3.473e-05  
Nb  K  2.719714e+02  9.06e+01  3.429e-05  
Rh  L  1.018285e+02  8.57e+01  0.001404  
Pd  L  9.944611e+02  1.04e+02  0.01076  
Cs  L  3.531084e+01  3.46e+01  4.996e-05  
Ba  L  7.931828e+01  5.66e+01  9.157e-05  
La  L  4.742804e+01  3.19e+01  4.335e-05  
Ce  L  6.893897e+01  4.07e+01  5.019e-05  
Au  L  2.542718e+02  5.07e+01  8.078e-05  
Hg  L  2.193235e+02  5.41e+01  6.436e-05  
Pb  L  3.444535e+02  1.13e+02  8.815e-05  
Th  L  7.442269e+02  1.11e+02  0.0001306  

SOURCE: ISic000655-t-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  1.350707e+02  3.51e+01  0.2006  
Si  K  1.053596e+02  3.45e+01  0.04033  
P  K  3.751989e+00  4.86e+01  0.0005037  
S  K  2.157669e+02  4.15e+01  0.01086  
Cl  K  2.600198e+02  5.32e+01  0.005938  
Ar  K  8.548556e+02  6.91e+01  0.009856  
K  K  1.313391e+03  5.56e+01  0.007133  
Ca  K  2.658376e+05  5.20e+02  0.7485  
Sc  K  2.220594e+02  1.11e+02  0.0003745  
Ti  K  1.536838e+02  3.36e+01  0.0001538  
V  K  1.331829e+01  2.18e+01  8.267e-06  
Cr  K  3.539690e-01  1.78e+01  1.357e-07  
Mn  K  1.023195e+02  1.86e+01  2.601e-05  
Fe  K  2.324888e+03  5.22e+01  0.000391  
Co  K  2.347879e-01  1.77e+01  2.813e-08  
Ni  K  2.968641e+01  2.49e+01  3.909e-06  
Cu  K  3.224301e+02  2.46e+01  5.924e-05  
Zn  K  2.073440e+02  2.27e+01  3.259e-05  
Ga  K  3.242173e+01  2.12e+01  1.159e-05  
As  K  1.807356e+02  6.38e+01  5.297e-05  
Rb  K  2.973387e+02  6.61e+01  4.648e-05  
Sr  K  1.898526e+04  1.71e+02  0.002734  
Y  K  3.754975e+02  7.93e+01  5.074e-05  
Zr  K  1.283218e+02  1.02e+02  1.664e-05  
Nb  K  3.026242e+02  8.91e+01  3.845e-05  
Rh  L  9.301233e+01  8.67e+01  0.001296  
Pd  L  8.943644e+02  1.03e+02  0.009778  
Cs  L  7.660947e+00  3.72e+01  1.097e-05  
Ba  L  1.339728e+00  5.96e+01  1.565e-06  
La  L  6.877495e+01  3.60e+01  6.362e-05  
Ce  L  7.016651e+01  4.20e+01  5.17e-05  
Au  L  2.191719e+02  5.06e+01  6.986e-05  
Hg  L  2.244945e+02  5.36e+01  6.634e-05  
Pb  L  8.602796e+02  1.16e+02  0.0002213  
Th  L  5.833029e+02  1.09e+02  0.0001031  

SOURCE: ISic000655-t-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  7.324805e+01  3.28e+01  0.1075  
Si  K  8.450844e+01  3.32e+01  0.03195  
P  K  1.061553e+02  4.92e+01  0.01407  
S  K  2.141773e+02  4.06e+01  0.01064  
Cl  K  2.150393e+02  5.07e+01  0.004848  
Ar  K  8.810946e+02  6.64e+01  0.01003  
K  K  1.284527e+03  5.47e+01  0.006886  
Ca  K  2.682104e+05  5.26e+02  0.7453  
Sc  K  3.304220e+02  1.12e+02  0.0005499  
Ti  K  5.061973e+01  3.00e+01  4.999e-05  
V  K  2.093772e+01  2.06e+01  1.283e-05  
Cr  K  4.398758e+01  1.83e+01  1.665e-05  
Mn  K  9.958723e+00  1.50e+01  2.499e-06  
Fe  K  1.147910e+03  3.79e+01  0.0001906  
Co  K  8.057455e+00  1.47e+01  9.532e-07  
Ni  K  5.668257e+01  2.64e+01  7.971e-06  
Cu  K  2.876613e+02  2.36e+01  5.272e-05  
Zn  K  1.288758e+02  2.06e+01  2.015e-05  
Ga  K  1.780518e+01  2.18e+01  6.784e-06  
As  K  1.782990e+02  6.55e+01  5.187e-05  
Rb  K  2.813725e+02  6.77e+01  4.363e-05  
Sr  K  7.410840e+03  1.25e+02  0.001058  
Y  K  3.425542e+02  8.11e+01  4.591e-05  
Zr  K  3.235271e+02  9.44e+01  4.159e-05  
Nb  K  4.406527e+02  9.19e+01  5.552e-05  
Rh  L  2.115231e+02  8.37e+01  0.002915  
Pd  L  7.364644e+02  9.79e+01  0.007962  
Cs  L  1.604035e+01  3.46e+01  2.268e-05  
Ba  L  1.585375e+02  5.86e+01  0.0001829  
La  L  2.869475e+01  3.39e+01  2.621e-05  
Ce  L  6.211164e+00  4.00e+01  4.518e-06  
Au  L  1.698213e+02  5.11e+01  5.393e-05  
Hg  L  2.293810e+02  5.59e+01  6.727e-05  
Pb  L  7.639118e+02  1.19e+02  0.0001954  
Th  L  1.052613e+03  1.14e+02  0.0001845  

SOURCE: ISic000656-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Al  K  4.317993e+01  3.26e+01  0.06355  
Si  K  1.731226e+02  3.51e+01  0.06565  
P  K  3.624600e+01  4.64e+01  0.00482  
S  K  2.275504e+02  4.04e+01  0.01134  
