SOURCE: ISic000662-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Zr  K  3.479439e+04  1.42e+05  0.0697  
Rh  L  6.171686e+04  5.18e+02  0.1167  
Pd  L  1.896911e+01  4.81e+02  2.579e-05  

SOURCE: ISic000662-MK-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  6.092933e+01  5.20e+01  0.00333  
P  K  5.378885e-01  9.95e+01  4.975e-06  
S  K  4.579919e+03  1.16e+02  0.01288  
Cl  K  3.905911e+03  2.44e+02  0.005592  
Ar  K  8.792225e+02  2.36e+02  0.0007556  
K  K  5.158175e+03  1.43e+02  0.002272  
Ca  K  1.158597e+06  1.10e+03  0.5071  
Sc  K  2.648880e+02  2.86e+02  0.000231  
Ti  K  4.355362e+03  1.16e+02  0.002661  
V  K  1.174232e+02  8.53e+01  5.677e-05  
Cr  K  7.148863e+03  1.25e+02  0.002562  
Mn  K  4.342614e+02  9.66e+01  0.0001306  
Fe  K  1.549059e+04  1.67e+02  0.003883  
Co  K  8.697994e+02  1.04e+02  0.0001938  
Ni  K  8.537329e+02  1.43e+02  0.0001639  
Cu  K  9.048690e+02  9.50e+01  0.0001659  
Zn  K  1.369580e+03  9.66e+01  0.0002473  
As  K  5.842086e+02  8.71e+01  0.0001158  
Rb  K  1.458490e+02  5.38e+01  6.479e-05  
Sr  K  1.006520e+02  4.09e+01  6.306e-05  
Y  K  4.620005e-02  1.25e+01  5.085e-08  
Zr  K  3.737497e+04  1.60e+05  0.07661  
Rh  L  6.171987e+04  5.12e+02  0.1153  
Pd  L  2.098639e+01  4.78e+02  2.821e-05  

SOURCE: ISic000662-MK-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.576685e-01  4.72e+01  8.314e-06  
P  K  2.435956e-02  8.34e+01  2.147e-07  
S  K  4.311980e+03  1.06e+02  0.01154  
Cl  K  2.633477e+03  2.77e+02  0.003587  
Ar  K  2.116221e+03  2.43e+02  0.001729  
K  K  2.851244e+01  1.02e+02  1.192e-05  
Ca  K  6.443605e+05  8.23e+02  0.2712  
Sc  K  7.392236e+02  2.31e+02  0.0006343  
Ti  K  9.180499e+02  8.81e+01  0.0005516  
V  K  3.367585e-01  7.31e+01  1.601e-07  
Cr  K  7.441533e+03  1.23e+02  0.002617  
Mn  K  5.232233e+02  9.04e+01  0.0001542  
Fe  K  3.455213e+03  1.07e+02  0.0008481  
Co  K  5.198469e+02  8.53e+01  0.0001133  
Ni  K  6.689787e+02  1.17e+02  0.0001252  
Cu  K  5.442717e+02  7.90e+01  9.725e-05  
Zn  K  6.599831e+02  7.93e+01  0.0001162  
As  K  5.148223e+02  7.16e+01  9.945e-05  
Rb  K  1.349277e+02  4.29e+01  5.841e-05  
Sr  K  1.073068e+02  3.27e+01  6.551e-05  
Y  K  1.340773e+00  1.07e+01  1.438e-06  
Zr  K  1.488940e+02  1.27e+05  0.0002974  
Rh  L  6.712824e+04  5.54e+02  0.1193  
Pd  L  4.030093e+01  4.97e+02  5.149e-05  

SOURCE: ISic000786-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.337235e+01  4.92e+01  0.002328  
P  K  6.437319e+02  9.43e+01  0.005826  
S  K  3.668675e+03  1.06e+02  0.01009  
Cl  K  1.614012e+03  2.50e+02  0.002257  
Ar  K  2.295534e+03  2.39e+02  0.001926  
K  K  9.825553e+02  1.15e+02  0.0004217  
Ca  K  9.575543e+05  9.98e+02  0.4109  
Sc  K  1.252741e+02  2.67e+02  0.0001087  
Ti  K  1.342635e+03  9.28e+01  0.0008159  
V  K  1.687299e+02  7.32e+01  8.111e-05  
Cr  K  7.203829e+03  1.22e+02  0.002561  
Mn  K  9.073931e+02  9.37e+01  0.0002704  
Fe  K  5.277828e+03  1.19e+02  0.00131  
Co  K  1.310105e+03  9.64e+01  0.0002888  
Ni  K  5.042672e+02  1.28e+02  9.543e-05  
Cu  K  3.518217e+02  8.18e+01  6.356e-05  
Zn  K  1.148345e+03  8.83e+01  0.0002044  
As  K  3.225053e+02  7.84e+01  6.299e-05  
Rb  K  1.583089e+02  4.82e+01  6.929e-05  
Sr  K  2.424311e+01  3.47e+01  1.496e-05  
Y  K  2.996092e+01  1.24e+01  3.249e-05  
Zr  K  2.752370e+05  1.50e+05  0.5558  
Rh  L  6.666135e+04  5.30e+02  0.1216  
