SOURCE: ISic000672-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.180444e+02  4.51e+01  0.006278  
P  K  7.803232e-02  7.69e+01  7.194e-07  
S  K  5.082579e+03  1.06e+02  0.01423  
Cl  K  3.680743e+03  2.46e+02  0.005237  
Ar  K  9.363257e+02  2.23e+02  0.0007971  
K  K  2.578911e+01  9.64e+01  1.12e-05  
Ca  K  6.245223e+05  8.20e+02  0.2646  
Sc  K  1.190241e+03  2.27e+02  0.0009985  
Ti  K  1.147615e+03  9.14e+01  0.000674  
V  K  3.123054e+01  7.89e+01  1.451e-05  
Cr  K  6.896203e+03  1.24e+02  0.00237  
Mn  K  8.016188e-01  9.35e+01  2.31e-07  
Fe  K  6.774103e+03  1.33e+02  0.001627  
Co  K  2.276950e+03  1.09e+02  0.0004858  
Ni  K  9.427823e+02  1.53e+02  0.0001731  
Cu  K  1.368819e+03  9.76e+01  0.0002399  
Zn  K  6.118028e+02  9.15e+01  0.0001056  
As  K  5.371975e+02  8.95e+01  0.0001018  
Rb  K  6.331003e+01  5.56e+01  2.688e-05  
Sr  K  1.367166e+02  4.10e+01  8.185e-05  
Y  K  3.294412e-01  1.26e+01  3.465e-07  
Zr  K  4.742557e+04  1.45e+05  0.09289  
Rh  L  6.111189e+04  5.13e+02  0.1132  
Pd  L  3.072825e+01  4.59e+02  4.091e-05  

SOURCE: ISic000676-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  8.802865e+01  5.34e+01  0.004801  
P  K  8.306295e+02  9.80e+01  0.007728  
S  K  5.407881e+03  1.19e+02  0.01567  
Cl  K  1.656561e+03  2.32e+02  0.002442  
Ar  K  1.871537e+03  2.35e+02  0.001652  
K  K  2.819294e+03  1.29e+02  0.001272  
Ca  K  1.121274e+06  1.08e+03  0.4906  
Sc  K  7.417591e+02  2.77e+02  0.0006355  
Ti  K  2.663692e+03  1.02e+02  0.001598  
V  K  1.376055e+02  7.96e+01  6.529e-05  
Cr  K  7.046002e+03  1.23e+02  0.002474  
Mn  K  5.665331e+02  9.52e+01  0.0001669  
Fe  K  1.476534e+04  1.63e+02  0.003626  
Co  K  8.464090e+02  1.01e+02  0.0001847  
Ni  K  4.180470e+02  1.40e+02  7.859e-05  
Cu  K  3.530231e+02  8.68e+01  6.336e-05  
Zn  K  9.945662e+02  9.16e+01  0.0001758  
As  K  4.503814e+02  8.44e+01  8.738e-05  
Rb  K  3.396945e+02  5.36e+01  0.0001477  
Sr  K  7.438134e+01  3.96e+01  4.56e-05  
Y  K  6.362313e+01  1.38e+01  6.853e-05  
Zr  K  2.438758e+05  1.54e+05  0.4892  
Rh  L  6.215235e+04  5.03e+02  0.1194  
Pd  L  1.958942e+03  4.73e+02  0.002705  

SOURCE: ISic000676-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.062867e+02  5.27e+01  0.005784  
P  K  7.558781e+02  9.27e+01  0.00703  
S  K  6.008592e+03  1.20e+02  0.01698  
Cl  K  2.029768e+03  2.26e+02  0.00292  
Ar  K  2.317954e+03  2.33e+02  0.001999  
K  K  3.524640e+03  1.31e+02  0.001556  
Ca  K  9.728526e+05  1.01e+03  0.4217  
Sc  K  2.362102e+02  2.59e+02  0.0002023  
Ti  K  2.508017e+03  1.03e+02  0.001504  
V  K  2.378636e+02  7.99e+01  0.0001128  
Cr  K  7.348749e+03  1.25e+02  0.002581  
Mn  K  1.012229e+03  1.01e+02  0.0002989  
Fe  K  2.333387e+04  1.91e+02  0.005748  
Co  K  9.585539e+02  1.05e+02  0.00021  
Ni  K  4.470102e+02  1.37e+02  8.485e-05  
Cu  K  4.190585e+02  8.80e+01  7.595e-05  
Zn  K  1.565377e+03  9.52e+01  0.0002795  
As  K  4.707228e+02  8.41e+01  9.227e-05  
Rb  K  1.733694e+02  5.13e+01  7.619e-05  
Sr  K  7.546645e+01  4.04e+01  4.677e-05  
Y  K  4.003281e+01  1.15e+01  4.359e-05  
Zr  K  1.233239e+05  1.54e+05  0.2501  
Rh  L  6.469133e+04  4.95e+02  0.1214  
Pd  L  4.349374e+03  4.67e+02  0.005866  

SOURCE: ISic000676-MK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  7.432593e-01  5.06e+01  4.041e-05  
P  K  2.559145e-02  1.01e+02  2.326e-07  
S  K  3.624372e+03  1.10e+02  0.01001  
Cl  K  1.520263e+03  2.33e+02  0.002137  
Ar  K  1.070252e+02  2.24e+02  9.031e-05  
K  K  2.210049e+03  1.26e+02  0.0009553  
Ca  K  1.210429e+06  1.13e+03  0.5276  
Sc  K  6.120283e+02  2.98e+02  0.0005427  
Ti  K  9.286828e+02  9.44e+01  0.0005765  
V  K  4.338034e+02  8.38e+01  0.000213  
Cr  K  6.940573e+03  1.24e+02  0.00252  
Mn  K  4.671124e+02  9.48e+01  0.0001421  
Fe  K  4.689697e+03  1.19e+02  0.001188  
Co  K  9.698617e+02  9.88e+01  0.0002182  
Ni  K  1.432527e+03  1.52e+02  0.0002764  
Cu  K  2.269920e+02  9.17e+01  4.182e-05  
Zn  K  5.766252e+02  9.13e+01  0.0001046  
As  K  4.738340e+02  8.95e+01  9.436e-05  
Rb  K  1.245665e+02  5.69e+01  5.559e-05  
Sr  K  4.182559e+01  4.35e+01  2.632e-05  
Y  K  8.409779e-02  1.45e+01  9.298e-08  
Zr  K  2.715150e+05  1.78e+05  0.559  
Rh  L  5.997513e+04  4.99e+02  0.11  
Pd  L  7.290184e+01  4.64e+02  9.621e-05  

SOURCE: ISic000677-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.088961e+02  5.32e+01  0.005942  
P  K  9.237843e+02  1.06e+02  0.008604  
S  K  5.273082e+03  1.20e+02  0.01531  
Cl  K  2.296222e+03  2.45e+02  0.00339  
Ar  K  1.550543e+03  2.38e+02  0.00137  
K  K  5.049307e+02  1.19e+02  0.0002277  
Ca  K  1.246675e+06  1.14e+03  0.5468  
Sc  K  7.929143e+02  3.01e+02  0.0006871  
Ti  K  1.342518e+03  9.52e+01  0.0008142  
V  K  4.467348e+01  7.54e+01  2.142e-05  
Cr  K  6.595482e+03  1.21e+02  0.002338  
Mn  K  8.789117e+02  9.73e+01  0.000261  
Fe  K  2.627017e+03  1.07e+02  0.0006493  
Co  K  7.437354e+02  9.58e+01  0.0001632  
Ni  K  1.308387e+03  1.49e+02  0.000246  
Cu  K  9.848370e+01  8.57e+01  1.767e-05  
Zn  K  8.567849e+02  9.10e+01  0.0001514  
As  K  3.410918e+02  8.32e+01  6.614e-05  
Rb  K  1.230024e+02  5.27e+01  5.343e-05  
Sr  K  2.712396e+01  3.72e+01  1.662e-05  
Y  K  3.302367e+01  1.25e+01  3.554e-05  
Zr  K  2.039374e+05  1.52e+05  0.4087  
