SOURCE: ISic001661-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.726216e+02  4.97e+01  0.009317  
P  K  6.072697e-02  8.19e+01  5.763e-07  
S  K  4.507633e+03  1.06e+02  0.01329  
Cl  K  3.211519e+03  2.21e+02  0.004811  
Ar  K  9.527639e+02  2.30e+02  0.0008522  
K  K  1.288634e+03  1.11e+02  0.0005872  
Ca  K  7.034901e+05  8.59e+02  0.3008  
Sc  K  4.184227e+02  2.27e+02  0.0003393  
Ti  K  1.817772e+03  9.49e+01  0.001032  
V  K  3.522693e-01  7.69e+01  1.581e-07  
Cr  K  7.079365e+03  1.21e+02  0.002353  
Mn  K  6.754386e+02  9.34e+01  0.0001891  
Fe  K  2.902249e+04  2.02e+02  0.006789  
Co  K  7.104331e+02  9.83e+01  0.000148  
Ni  K  3.246824e+02  1.21e+02  5.901e-05  
Cu  K  3.563654e+02  8.08e+01  6.184e-05  
Zn  K  6.371507e+02  8.14e+01  0.0001089  
As  K  3.583754e+02  7.47e+01  6.727e-05  
Rb  K  5.619370e+01  4.66e+01  2.365e-05  
Sr  K  7.884747e+01  3.43e+01  4.68e-05  
Y  K  9.681709e-02  1.14e+01  1.01e-07  
Zr  K  2.732639e+04  1.36e+05  0.05308  
Rh  L  6.284873e+04  4.87e+02  0.1224  
Pd  L  3.504424e+01  4.60e+02  4.902e-05  

SOURCE: ISic003662-MK-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.692966e+02  5.07e+01  0.01465  
P  K  6.223316e+02  7.87e+01  0.006101  
S  K  5.568213e+03  1.12e+02  0.01706  
Cl  K  3.439634e+03  2.17e+02  0.005348  
Ar  K  1.598417e+03  2.28e+02  0.00148  
K  K  2.113480e+03  1.15e+02  0.000995  
Ca  K  6.748670e+05  8.40e+02  0.2895  
Sc  K  3.208472e+02  2.23e+02  0.0002523  
Ti  K  2.560474e+03  9.92e+01  0.001409  
V  K  8.112977e+01  7.85e+01  3.53e-05  
Cr  K  7.185065e+03  1.23e+02  0.002317  
Mn  K  8.463235e+02  1.01e+02  0.0002306  
Fe  K  4.336759e+04  2.41e+02  0.009886  
Co  K  6.207217e+02  1.02e+02  0.0001262  
Ni  K  5.391172e+02  1.24e+02  9.642e-05  
Cu  K  4.902600e+02  8.22e+01  8.374e-05  
Zn  K  7.497684e+02  8.43e+01  0.0001262  
As  K  3.636822e+02  7.63e+01  6.721e-05  
Rb  K  2.457048e+02  4.79e+01  0.0001018  
Sr  K  2.533655e+01  3.36e+01  1.481e-05  
Y  K  5.758223e+01  1.07e+01  5.915e-05  
Zr  K  2.510430e+05  1.27e+05  0.4803  
Rh  L  6.406719e+04  4.89e+02  0.1293  
Pd  L  3.051554e+03  4.60e+02  0.00442  

SOURCE: ISic003662-MK-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.468368e+02  5.47e+01  0.007961  
P  K  9.155420e+02  9.43e+01  0.008557  
S  K  1.917399e+04  1.71e+02  0.05444  
Cl  K  2.935103e+03  2.42e+02  0.004236  
Ar  K  1.930222e+03  2.40e+02  0.001668  
K  K  7.206817e+02  1.15e+02  0.000318  
Ca  K  9.862473e+05  1.01e+03  0.4257  
Sc  K  5.728695e+02  2.63e+02  0.0004904  
Ti  K  1.794891e+03  9.75e+01  0.001076  
V  K  9.553916e+01  7.96e+01  4.529e-05  
Cr  K  7.208520e+03  1.25e+02  0.002528  
Mn  K  6.150724e+02  9.86e+01  0.0001811  
Fe  K  1.366313e+04  1.60e+02  0.003352  
Co  K  7.481852e+02  1.01e+02  0.0001631  
Ni  K  4.531502e+02  1.36e+02  8.516e-05  
Cu  K  5.904693e+02  8.95e+01  0.0001059  
Zn  K  7.096990e+02  9.05e+01  0.0001254  
As  K  3.891004e+02  8.37e+01  7.547e-05  
Rb  K  1.479220e+02  5.10e+01  6.43e-05  
Sr  K  5.514548e+01  3.81e+01  3.381e-05  
Y  K  3.201139e+01  1.10e+01  3.448e-05  
Zr  K  2.380480e+05  1.48e+05  0.4774  
Rh  L  6.486067e+04  5.17e+02  0.122  
Pd  L  2.882136e+03  4.85e+02  0.003894  

SOURCE: ISic003662-MK-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.628940e+01  5.51e+01  0.000883  
P  K  8.738956e+02  9.67e+01  0.007981  
S  K  1.579709e+04  1.61e+02  0.04489  
Cl  K  2.941527e+03  2.43e+02  0.004253  
Ar  K  1.267208e+03  2.39e+02  0.001098  
K  K  4.116592e+02  1.15e+02  0.0001821  
Ca  K  1.042858e+06  1.05e+03  0.4523  
Sc  K  1.225881e+02  2.72e+02  0.0001057  
Ti  K  1.391776e+03  9.57e+01  0.0008403  
V  K  6.561479e+00  7.95e+01  3.133e-06  
Cr  K  7.086621e+03  1.25e+02  0.002503  
Mn  K  6.409290e+02  9.87e+01  0.0001899  
Fe  K  1.128982e+04  1.51e+02  0.002787  
Co  K  7.265692e+02  1.00e+02  0.0001594  
Ni  K  1.173132e+03  1.43e+02  0.0002215  
Cu  K  2.004571e+02  8.82e+01  3.613e-05  
Zn  K  5.406074e+02  9.03e+01  9.598e-05  
As  K  4.356675e+02  8.54e+01  8.488e-05  
Rb  K  2.622193e+02  5.30e+01  0.0001145  
Sr  K  3.317759e+01  3.75e+01  2.043e-05  
Y  K  5.359940e+01  1.22e+01  5.798e-05  
Zr  K  1.704653e+05  1.42e+05  0.3434  
Rh  L  6.358640e+04  5.16e+02  0.1198  
Pd  L  1.293437e+03  4.85e+02  0.001752  

SOURCE: ISic003662-MK-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  8.957867e+01  5.44e+01  0.004861  
P  K  8.979158e+02  9.45e+01  0.00833  
S  K  2.168908e+04  1.79e+02  0.06292  
Cl  K  2.276105e+03  2.32e+02  0.003358  
Ar  K  1.345507e+03  2.36e+02  0.001188  
K  K  7.513013e+02  1.16e+02  0.0003383  
Ca  K  1.003997e+06  1.04e+03  0.4358  
Sc  K  1.524630e+03  2.72e+02  0.001294  
Ti  K  1.543157e+03  9.67e+01  0.0009168  
V  K  8.020232e+01  8.05e+01  3.768e-05  
Cr  K  6.860083e+03  1.24e+02  0.002384  
Mn  K  5.209893e+02  9.84e+01  0.000152  
Fe  K  1.571180e+04  1.67e+02  0.00382  
Co  K  6.233999e+02  1.01e+02  0.0001347  
Ni  K  6.650529e+02  1.41e+02  0.0001239  
Cu  K  2.970471e+02  8.93e+01  5.285e-05  
Zn  K  6.616856e+02  9.26e+01  0.000116  
As  K  4.132584e+02  8.56e+01  7.948e-05  
Rb  K  1.072876e+02  5.20e+01  4.624e-05  
Sr  K  4.597821e+01  3.66e+01  2.794e-05  
Y  K  2.769069e+01  1.25e+01  2.957e-05  
Zr  K  1.264824e+05  1.39e+05  0.2515  
Rh  L  6.361086e+04  5.03e+02  0.1222  
Pd  L  2.740909e+03  4.76e+02  0.003783  

SOURCE: ISic003662-MK-g.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.262980e+02  5.39e+01  0.006825  
P  K  1.534973e-01  8.95e+01  1.428e-06  
S  K  2.456462e+04  1.86e+02  0.06942  
Cl  K  2.484211e+03  2.48e+02  0.003568  
Ar  K  1.174420e+02  2.36e+02  0.000101  
K  K  2.644753e+02  1.10e+02  0.0001161  
Ca  K  8.785816e+05  9.56e+02  0.3774  
Sc  K  7.255788e+02  2.48e+02  0.0006187  
Ti  K  1.342694e+03  9.51e+01  0.0008015  
V  K  9.814733e+01  8.08e+01  4.634e-05  
Cr  K  7.294965e+03  1.25e+02  0.002548  
Mn  K  9.541774e+02  1.01e+02  0.0002798  
Fe  K  1.459049e+04  1.63e+02  0.003567  
Co  K  5.767875e+02  1.00e+02  0.0001253  
Ni  K  8.492937e+02  1.33e+02  0.0001592  
Cu  K  3.730145e+02  8.89e+01  6.677e-05  
Zn  K  5.092174e+02  8.82e+01  8.98e-05  
As  K  2.866246e+02  8.17e+01  5.547e-05  
Rb  K  5.399983e+01  5.14e+01  2.342e-05  
Sr  K  4.652020e+01  3.65e+01  2.846e-05  
Y  K  1.835406e-02  1.15e+01  1.973e-08  
Zr  K  7.523473e+04  1.46e+05  0.1506  
Rh  L  6.358455e+04  5.37e+02  0.119  
Pd  L  4.067030e+01  4.80e+02  5.468e-05  

SOURCE: ISic003662-MK-h.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.725724e+02  5.32e+01  0.00936  
P  K  5.796222e+02  9.19e+01  0.005452  
S  K  1.642777e+04  1.61e+02  0.04693  
Cl  K  4.033086e+03  2.41e+02  0.005856  
Ar  K  1.349485e+03  2.35e+02  0.001172  
K  K  7.409268e+02  1.14e+02  0.0003286  
Ca  K  9.196190e+05  9.89e+02  0.3962  
Sc  K  8.270030e+02  2.59e+02  0.0007019  
Ti  K  1.668996e+03  9.82e+01  0.0009916  
V  K  4.448604e+01  7.99e+01  2.09e-05  
Cr  K  6.973505e+03  1.24e+02  0.002425  
