SOURCE: MK-ISic000065-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
SOURCE: MK-ISic000284-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.864277e+02  5.50e+01  0.01564  
P  K  2.932069e-01  9.05e+01  2.844e-06  
S  K  3.428652e+03  1.08e+02  0.01039  
Cl  K  3.564339e+03  2.30e+02  0.005488  
Ar  K  1.573819e+03  2.38e+02  0.001446  
K  K  3.847366e+03  1.35e+02  0.001801  
Ca  K  9.411851e+05  9.92e+02  0.4098  
Sc  K  2.083449e+02  2.61e+02  0.0001696  
Ti  K  3.862486e+03  1.11e+02  0.002201  
V  K  5.838586e-01  8.34e+01  2.632e-07  
Cr  K  7.137985e+03  1.26e+02  0.002384  
Mn  K  4.617507e+03  1.23e+02  0.001298  
Fe  K  3.420128e+04  2.24e+02  0.008029  
Co  K  6.353705e+02  1.08e+02  0.0001327  
Ni  K  7.300146e+02  1.40e+02  0.0001327  
Cu  K  4.501972e+02  8.84e+01  7.815e-05  
Zn  K  1.366758e+03  9.52e+01  0.0002337  
As  K  3.471325e+02  8.33e+01  6.516e-05  
Rb  K  9.444817e+01  5.23e+01  3.974e-05  
Sr  K  2.314420e+01  4.00e+01  1.373e-05  
Y  K  2.272117e-01  1.29e+01  2.369e-07  
Zr  K  7.597927e+04  1.67e+05  0.1475  
Rh  L  6.203928e+04  4.99e+02  0.1242  
Pd  L  4.271677e+00  4.75e+02  6.141e-06  

SOURCE: MK-ISic000284-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.574688e+01  5.46e+01  0.001413  
P  K  3.531162e-01  9.81e+01  3.252e-06  
S  K  3.196674e+03  1.10e+02  0.008944  
Cl  K  3.429753e+03  2.35e+02  0.004884  
Ar  K  1.220351e+03  2.40e+02  0.001043  
K  K  2.296554e+03  1.30e+02  0.001005  
Ca  K  1.195704e+06  1.11e+03  0.5212  
Sc  K  2.752005e+01  2.81e+02  2.41e-05  
Ti  K  2.408337e+03  1.04e+02  0.001477  
V  K  1.941265e+00  8.12e+01  9.418e-07  
Cr  K  6.820631e+03  1.23e+02  0.002449  
Mn  K  6.811050e+03  1.32e+02  0.002056  
Fe  K  2.880962e+04  2.10e+02  0.007257  
Co  K  8.950941e+02  1.07e+02  0.0002006  
Ni  K  7.963217e+02  1.42e+02  0.0001546  
Cu  K  2.985476e+02  8.68e+01  5.533e-05  
Zn  K  1.109555e+03  9.32e+01  0.0002026  
As  K  3.070942e+02  8.38e+01  6.157e-05  
Rb  K  1.069364e+02  5.34e+01  4.807e-05  
Sr  K  1.324735e+02  4.07e+01  8.399e-05  
Y  K  8.779126e-01  1.36e+01  9.78e-07  
Zr  K  5.607569e+04  1.63e+05  0.1163  
Rh  L  6.293023e+04  5.07e+02  0.1169  
Pd  L  1.456123e+01  4.81e+02  1.946e-05  

SOURCE: MK-ISic000284-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.097268e+03  5.89e+01  0.0732  
P  K  3.559241e+02  6.93e+01  0.004975  
S  K  4.207504e+03  1.01e+02  0.01777  
Cl  K  4.300409e+03  2.19e+02  0.009046  
Ar  K  1.380935e+03  2.23e+02  0.001674  
K  K  1.135657e+04  1.54e+02  0.006822  
Ca  K  3.751820e+05  6.36e+02  0.1588  
Sc  K  4.521048e+01  1.91e+02  2.277e-05  
Ti  K  2.806544e+04  2.10e+02  0.009939  
V  K  5.607120e+01  1.27e+02  1.576e-05  
Cr  K  7.014782e+03  1.40e+02  0.001504  
Mn  K  1.051134e+04  1.64e+02  0.002127  
Fe  K  6.217593e+05  8.10e+02  0.1124  
Co  K  4.247228e+03  1.95e+02  0.0007107  
Ni  K  1.782399e+03  1.12e+02  0.0003436  
Cu  K  4.747800e+02  9.56e+01  8.787e-05  
Zn  K  2.112776e+03  1.06e+02  0.0003868  
As  K  4.104403e+02  8.99e+01  8.337e-05  
Rb  K  1.813697e+01  5.79e+01  8.355e-06  
Sr  K  4.622770e+01  4.23e+01  3.011e-05  
Y  K  1.344116e+01  1.41e+01  1.542e-05  
Zr  K  1.216047e+05  1.75e+05  0.2603  
Rh  L  6.597647e+04  4.86e+02  0.1766  
Pd  L  4.938141e+03  4.53e+02  0.0094  

SOURCE: MK-ISic000284-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
