SOURCE: MK-ISic000711-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.412742e+01  5.34e+01  0.001316  
P  K  1.110150e+00  1.01e+02  1.015e-05  
S  K  4.908680e+03  1.18e+02  0.01363  
Cl  K  1.985414e+03  2.29e+02  0.002806  
Ar  K  1.641080e+03  2.33e+02  0.001392  
K  K  1.422234e+03  1.23e+02  0.0006175  
Ca  K  1.246555e+06  1.17e+03  0.544  
Sc  K  1.405789e+01  2.92e+02  1.246e-05  
Ti  K  1.301668e+03  9.44e+01  0.0008079  
V  K  7.080304e-01  7.72e+01  3.476e-07  
Cr  K  6.903620e+03  1.22e+02  0.002506  
Mn  K  3.997459e+02  9.49e+01  0.0001216  
Fe  K  6.511704e+03  1.29e+02  0.00165  
Co  K  9.411008e+02  9.96e+01  0.0002118  
Ni  K  3.049865e+02  1.46e+02  5.892e-05  
Cu  K  2.396158e+02  8.92e+01  4.419e-05  
Zn  K  5.275940e+02  8.89e+01  9.585e-05  
As  K  3.808864e+02  8.50e+01  7.594e-05  
Rb  K  1.835417e+02  5.53e+01  8.201e-05  
Sr  K  1.273240e+02  4.35e+01  8.023e-05  
Y  K  2.036636e+00  1.50e+01  2.255e-06  
Zr  K  5.656806e+04  1.63e+05  0.1166  
Rh  L  5.910187e+04  4.97e+02  0.109  
Pd  L  7.522684e+00  4.68e+02  9.978e-06  

SOURCE: MK-ISic000821-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.269225e+02  5.56e+01  0.006946  
P  K  2.708151e-01  1.01e+02  2.53e-06  
S  K  5.855388e+03  1.23e+02  0.01662  
Cl  K  2.451135e+03  2.36e+02  0.003538  
Ar  K  2.781509e+03  2.51e+02  0.002405  
K  K  1.262810e+03  1.24e+02  0.0005583  
Ca  K  1.246560e+06  1.17e+03  0.5452  
Sc  K  6.278262e+00  2.92e+02  5.502e-06  
Ti  K  1.281170e+03  9.52e+01  0.0007859  
V  K  2.494532e+01  7.84e+01  1.21e-05  
Cr  K  6.852024e+03  1.22e+02  0.002458  
Mn  K  9.493795e+02  9.85e+01  0.0002855  
Fe  K  9.126204e+03  1.41e+02  0.002286  
Co  K  6.903786e+02  9.73e+01  0.0001536  
Ni  K  1.081497e+03  1.48e+02  0.0002068  
Cu  K  1.008480e+03  9.23e+01  0.000184  
Zn  K  1.268665e+03  9.18e+01  0.0002281  
As  K  9.871652e+02  8.73e+01  0.0001947  
Rb  K  4.685855e+01  5.29e+01  2.071e-05  
Sr  K  5.404833e+01  3.90e+01  3.369e-05  
Y  K  6.039078e-02  1.33e+01  6.614e-08  
Zr  K  9.862441e+04  1.50e+05  0.2011  
Rh  L  6.038396e+04  5.10e+02  0.1136  
Pd  L  1.114780e+03  4.94e+02  0.001508  

SOURCE: MK-ISic002995-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.400844e+02  5.48e+01  0.01327  
P  K  1.155712e+03  9.02e+01  0.01115  
S  K  1.085647e+04  1.41e+02  0.03184  
Cl  K  3.182150e+03  2.22e+02  0.004745  
Ar  K  7.979235e+01  2.28e+02  7.121e-05  
K  K  4.831861e+03  1.38e+02  0.002204  
Ca  K  1.043329e+06  1.05e+03  0.4557  
Sc  K  1.566376e+03  2.66e+02  0.001315  
Ti  K  4.004386e+03  1.13e+02  0.002354  
V  K  1.793926e+02  8.66e+01  8.342e-05  
Cr  K  6.961188e+03  1.25e+02  0.0024  
Mn  K  8.557848e+02  1.02e+02  0.0002489  
Fe  K  4.982498e+04  2.56e+02  0.01211  
Co  K  4.694576e+02  1.11e+02  0.0001017  
Ni  K  1.345724e+03  1.47e+02  0.0002551  
Cu  K  5.000469e+02  9.33e+01  9.054e-05  
Zn  K  5.436124e+02  9.10e+01  9.699e-05  
As  K  6.039309e+02  8.94e+01  0.0001183  
Rb  K  1.185229e+02  5.58e+01  5.209e-05  
Sr  K  5.545472e+01  4.52e+01  3.438e-05  
Y  K  3.057689e+01  1.38e+01  3.331e-05  
Zr  K  1.701474e+05  1.81e+05  0.3452  
Rh  L  6.142062e+04  4.86e+02  0.1193  
Pd  L  2.230971e+03  4.64e+02  0.003115  

SOURCE: MK-ISic002995-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.812851e+02  5.36e+01  0.009952  
P  K  4.452744e-01  9.44e+01  4.203e-06  
S  K  2.790724e+03  1.05e+02  0.008005  
Cl  K  3.029864e+03  2.22e+02  0.004421  
Ar  K  1.008962e+02  2.26e+02  8.819e-05  
K  K  3.391385e+03  1.33e+02  0.001516  
Ca  K  1.152524e+06  1.12e+03  0.5037  
Sc  K  1.212819e+03  2.81e+02  0.001044  
Ti  K  2.423543e+03  1.04e+02  0.001461  
V  K  1.414997e+02  8.44e+01  6.748e-05  
Cr  K  6.985500e+03  1.25e+02  0.002466  
Mn  K  5.335331e+02  9.86e+01  0.0001583  
Fe  K  2.736462e+04  2.05e+02  0.006773  
Co  K  5.636185e+02  1.07e+02  0.0001241  
Ni  K  1.293905e+03  1.56e+02  0.0002466  
Cu  K  4.440701e+02  9.33e+01  8.081e-05  
Zn  K  3.866014e+02  8.97e+01  6.931e-05  
As  K  3.418477e+02  8.90e+01  6.728e-05  
Rb  K  1.156776e+02  5.67e+01  5.104e-05  
Sr  K  5.216869e+01  4.27e+01  3.246e-05  
Y  K  6.978515e-03  1.38e+01  7.63e-09  
Zr  K  1.656969e+02  1.55e+05  0.0003374  
Rh  L  5.921534e+04  4.86e+02  0.1126  
Pd  L  1.181065e+01  4.59e+02  1.615e-05  

SOURCE: MK-ISic002995-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.220312e+02  5.49e+01  0.006711  
P  K  1.204960e+03  9.71e+01  0.01136  
S  K  3.024359e+03  1.08e+02  0.008946  
Cl  K  2.732868e+03  2.21e+02  0.004113  
Ar  K  8.974801e+01  2.33e+02  8.082e-05  
K  K  3.341986e+03  1.34e+02  0.001536  
Ca  K  1.234224e+06  1.15e+03  0.5442  
Sc  K  7.006475e+02  2.88e+02  0.0005982  
Ti  K  1.891491e+03  1.00e+02  0.00113  
V  K  7.846970e+01  8.23e+01  3.708e-05  
Cr  K  6.740516e+03  1.23e+02  0.002356  
Mn  K  4.501975e+02  9.71e+01  0.0001322  
Fe  K  2.439482e+04  1.92e+02  0.005972  
Co  K  4.859114e+02  1.03e+02  0.0001058  
Ni  K  1.135376e+03  1.52e+02  0.0002136  
Cu  K  1.938187e+02  9.05e+01  3.48e-05  
Zn  K  4.243075e+02  8.83e+01  7.505e-05  
As  K  3.312040e+02  8.73e+01  6.43e-05  
Rb  K  2.117657e+02  5.68e+01  9.213e-05  
Sr  K  1.823783e+01  4.09e+01  1.119e-05  
Y  K  4.686450e+01  1.38e+01  5.052e-05  
Zr  K  1.256880e+05  1.53e+05  0.2523  
Rh  L  6.016987e+04  4.85e+02  0.1179  
Pd  L  8.644281e+01  4.71e+02  0.0001217  

SOURCE: MK-ISic003005-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.169325e+03  5.43e+01  0.07111  
P  K  2.349765e+01  5.43e+01  0.0003441  
S  K  3.619386e+03  8.90e+01  0.01602  
Cl  K  2.761438e+03  2.05e+02  0.006074  
Ar  K  8.893564e+01  2.06e+02  0.000112  
K  K  1.037789e+04  1.44e+02  0.006438  
Ca  K  1.880790e+05  4.57e+02  0.08021  
Sc  K  5.235249e+02  1.53e+02  0.0002441  
Ti  K  1.581498e+04  1.66e+02  0.005165  
V  K  1.423807e+02  1.09e+02  3.675e-05  
Cr  K  1.065968e+04  1.47e+02  0.002085  
Mn  K  3.748354e+03  1.27e+02  0.0006648  
Fe  K  2.687135e+05  5.42e+02  0.04152  
Co  K  1.952080e+03  1.50e+02  0.0002759  
Ni  K  2.762859e+03  1.16e+02  0.000414  
Cu  K  2.409592e+02  9.77e+01  3.458e-05  
Zn  K  1.215894e+03  1.03e+02  0.0001722  
As  K  6.929184e+02  9.51e+01  0.0001083  
Rb  K  2.310918e+01  6.00e+01  8.154e-06  
Sr  K  4.169455e+01  4.34e+01  2.078e-05  
Y  K  7.129752e-01  1.38e+01  6.253e-07  
Zr  K  5.290879e+03  1.62e+05  0.008654  
Rh  L  6.065791e+04  4.67e+02  0.1692  
Pd  L  1.866123e+02  4.24e+02  0.0003696  

SOURCE: MK-ISic003005-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  8.413021e+02  5.05e+01  0.05537  
P  K  1.048867e+00  5.06e+01  1.579e-05  
S  K  3.493679e+03  8.71e+01  0.01587  
Cl  K  3.627923e+03  2.18e+02  0.008152  
Ar  K  2.578610e+00  1.99e+02  3.296e-06  
K  K  1.946584e+04  1.75e+02  0.01229  
Ca  K  9.635335e+04  3.37e+02  0.04155  
Sc  K  8.002881e+01  1.25e+02  3.184e-05  
Ti  K  2.655790e+04  2.00e+02  0.007449  
V  K  8.354628e+02  1.22e+02  0.0001861  
Cr  K  7.008180e+03  1.34e+02  0.001213  
