SOURCE: ISic000584-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Sc  K  2.817588e+02  8.43e+01  0.0004822  
Ti  K  4.233946e+01  2.65e+01  4.3e-05  
V  K  2.760655e+01  1.87e+01  1.739e-05  
Cr  K  8.834021e+02  3.54e+01  0.0003436  
Mn  K  4.312071e+02  3.09e+01  0.0001112  
Fe  K  3.211272e+03  6.13e+01  0.0005475  
Co  K  2.466067e+01  2.10e+01  2.993e-06  
Ni  K  1.339705e-03  2.46e+01  1.553e-10  
Cu  K  2.313890e+02  2.35e+01  4.212e-05  
Zn  K  2.843732e+02  2.61e+01  4.461e-05  
As  K  1.101837e+02  7.08e+01  3.244e-05  
Rb  K  5.325435e+02  7.30e+01  8.374e-05  
Sr  K  2.114711e+04  1.78e+02  0.003064  
Y  K  7.122891e+02  8.58e+01  9.688e-05  
Zr  K  8.388756e+02  1.10e+02  0.0001095  
Rh  K  1.345760e+04  3.43e+03  0.002975  
Rh  L  1.169804e+02  6.44e+01  0.001648  
Pd  K  9.148845e+03  4.97e+02  0.002212  
Pd  L  3.090598e+02  7.38e+01  0.003418  
Sn  K  8.991522e+02  9.38e+01  0.000388  
Ba  L  4.935258e+01  4.21e+01  5.846e-05  
Au  L  1.728387e+02  5.46e+01  5.481e-05  
Hg  L  2.115873e+02  6.04e+01  6.283e-05  
Pb  L  1.006901e+03  1.26e+02  0.0002592  

SOURCE: ISic000612-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.360075e+02  3.09e+01  0.006954  
Cl  K  7.635916e+01  3.69e+01  0.001772  
Ar  K  5.103006e+02  4.98e+01  0.00598  
K  K  1.042008e+03  4.57e+01  0.005753  
Ca  K  1.008944e+05  3.22e+02  0.2888  
Sc  K  2.488378e+02  7.86e+01  0.0004266  
Ti  K  3.305462e+02  3.58e+01  0.0003363  
V  K  2.758871e+01  2.25e+01  1.741e-05  
Cr  K  9.218580e+02  3.73e+01  0.0003592  
Mn  K  1.109431e+03  4.30e+01  0.0002865  
Fe  K  2.190220e+04  1.51e+02  0.003741  
Co  K  7.089928e+01  3.28e+01  8.619e-06  
Ni  K  1.445490e+01  2.44e+01  1.668e-06  
Cu  K  3.192330e+02  2.50e+01  5.814e-05  
Zn  K  4.032650e+02  2.77e+01  6.333e-05  
As  K  1.835666e+02  7.25e+01  5.411e-05  
Rb  K  9.201834e+02  7.55e+01  0.0001449  
Sr  K  3.471176e+04  2.16e+02  0.005036  
Y  K  5.681875e+02  8.53e+01  7.739e-05  
Zr  K  1.089045e+03  1.21e+02  0.0001423  
Rh  K  8.081766e+03  3.30e+03  0.001789  
Rh  L  9.464636e+01  6.19e+01  0.001336  
Pd  K  9.073471e+03  4.74e+02  0.002197  
Pd  L  3.776678e+02  7.29e+01  0.004183  
Sn  K  1.009461e+03  9.35e+01  0.0004363  
Ba  L  7.365438e+01  4.95e+01  8.739e-05  
Au  L  1.816545e+02  5.38e+01  5.765e-05  
Hg  L  1.951758e+02  6.12e+01  5.804e-05  
Pb  L  1.463729e+03  1.28e+02  0.0003772  

SOURCE: ISic000612-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.173731e+02  3.08e+01  0.00589  
Cl  K  9.281967e+01  3.68e+01  0.002113  
Ar  K  5.093632e+02  5.01e+01  0.005856  
K  K  8.240462e+02  4.27e+01  0.004463  
Ca  K  1.090282e+05  3.35e+02  0.3061  
Sc  K  3.480195e+02  8.12e+01  0.0005853  
Ti  K  1.890450e+02  3.28e+01  0.0001887  
V  K  4.428677e+01  2.18e+01  2.741e-05  
Cr  K  8.852251e+02  3.64e+01  0.0003384  
Mn  K  1.287319e+03  4.47e+01  0.0003263  
Fe  K  2.064526e+04  1.47e+02  0.003461  
Co  K  6.318956e+01  3.23e+01  7.546e-06  
Ni  K  5.133187e+00  2.41e+01  6.541e-07  
Cu  K  3.363642e+02  2.57e+01  6.135e-05  
Zn  K  2.465022e+02  2.53e+01  3.851e-05  
As  K  2.495503e+00  7.26e+01  7.277e-07  
Rb  K  8.823412e+02  7.58e+01  0.0001373  
Sr  K  3.359800e+04  2.14e+02  0.004815  
Y  K  5.331745e+02  8.55e+01  7.172e-05  
Zr  K  1.233168e+03  1.21e+02  0.0001591  
Rh  K  1.185236e+04  3.25e+03  0.00259  
Rh  L  1.187778e-01  5.98e+01  1.649e-06  
Pd  K  9.509585e+03  4.77e+02  0.002272  
Pd  L  4.691859e+02  7.22e+01  0.005111  
Sn  K  1.621426e+03  9.38e+01  0.0006914  
Ba  L  3.555651e+01  4.70e+01  4.141e-05  
Au  L  2.483590e+02  5.42e+01  7.863e-05  
Hg  L  2.471008e+02  6.07e+01  7.266e-05  
Pb  L  9.733508e+02  1.29e+02  0.000249  

SOURCE: ISic000768-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  8.225303e+01  3.23e+01  0.00406  
Cl  K  1.954319e+02  4.20e+01  0.004376  
Ar  K  2.109571e+02  4.83e+01  0.002384  
K  K  5.904975e+02  4.11e+01  0.003144  
Ca  K  1.577913e+05  4.01e+02  0.4355  
Sc  K  1.779455e+01  8.76e+01  2.942e-05  
Ti  K  2.511565e+01  2.39e+01  2.464e-05  
V  K  9.238465e+00  1.76e+01  5.621e-06  
Cr  K  9.510933e+02  3.60e+01  0.0003575  
Mn  K  2.863167e+01  1.97e+01  7.135e-06  
Fe  K  4.194823e+02  2.56e+01  6.917e-05  
Co  K  2.748604e+01  1.49e+01  3.23e-06  
Ni  K  8.886140e+01  2.36e+01  1.239e-05  
Cu  K  2.248927e+02  2.24e+01  4.093e-05  
Zn  K  1.009352e+02  2.04e+01  1.567e-05  
As  K  2.923013e+00  6.78e+01  8.445e-07  
Rb  K  4.296826e+02  7.19e+01  6.617e-05  
Sr  K  6.048340e+03  1.17e+02  0.0008579  
Y  K  3.439488e+02  8.33e+01  4.578e-05  
Zr  K  7.194134e+02  9.67e+01  9.185e-05  
Rh  K  1.038402e+04  3.51e+03  0.002244  
Rh  L  1.493647e+01  6.60e+01  0.0002044  
Pd  K  9.047925e+03  5.09e+02  0.002138  
Pd  L  5.563835e+02  7.69e+01  0.005974  
Sn  K  9.784721e+02  9.65e+01  0.0004126  
Ba  L  2.624642e+01  3.79e+01  3.007e-05  
Au  L  2.607642e+02  5.42e+01  8.224e-05  
Hg  L  2.778038e+02  5.90e+01  8.091e-05  
Pb  L  5.537772e+02  1.20e+02  0.0001407  

SOURCE: ISic000768-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.659764e+02  3.52e+01  0.008014  
