SOURCE: ISic000007-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Zr  K  9.395872e+03  1.61e+02  0.001267  
Rh  K  9.237145e+03  3.82e+03  0.002112  
Rh  L  4.512014e+01  5.57e+01  0.0006585  
Pd  K  9.332158e+03  5.42e+02  0.002334  
Pd  L  4.056668e+02  6.77e+01  0.004649  
Sn  K  9.371106e+02  1.10e+02  0.0004186  
Ba  L  9.443349e+01  6.59e+01  0.0001159  
Au  L  2.213384e+02  6.52e+01  6.983e-05  
Hg  L  1.762978e+02  7.75e+01  5.392e-05  
Pb  L  1.775336e+03  1.54e+02  0.0004631  

SOURCE: ISic000079-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.082399e+02  2.96e+01  0.005752  
Cl  K  7.271951e+01  3.50e+01  0.001755  
Ar  K  4.438104e+02  4.65e+01  0.005411  
K  K  1.225868e+03  4.70e+01  0.007043  
Ca  K  3.535615e+04  1.95e+02  0.1053  
Sc  K  3.518165e+02  5.81e+01  0.0006275  
Ti  K  1.161585e+03  5.64e+01  0.001229  
V  K  4.888274e+01  3.41e+01  3.206e-05  
Cr  K  1.182518e+03  4.53e+01  0.0004786  
Mn  K  8.990409e+02  4.49e+01  0.000241  
Fe  K  1.563105e+05  3.96e+02  0.02768  
Co  K  6.505957e+02  6.61e+01  8.186e-05  
Ni  K  6.848817e+01  2.19e+01  6.476e-06  
Cu  K  4.498617e+02  2.99e+01  7.904e-05  
Zn  K  2.911626e+03  6.10e+01  0.0004568  
As  K  1.201781e+03  8.76e+01  0.0003662  
Rb  K  2.216524e+03  9.14e+01  0.0003617  
Sr  K  2.798697e+04  2.01e+02  0.004211  
Y  K  1.113592e+03  9.53e+01  0.0001574  
Zr  K  7.483428e+03  1.50e+02  0.001015  
Rh  K  6.067193e+03  3.55e+03  0.001395  
Rh  L  3.304766e+01  5.58e+01  0.0004848  
Pd  K  9.306680e+03  5.08e+02  0.002341  
Pd  L  3.653570e+02  6.60e+01  0.004208  
Sn  K  1.151048e+03  1.05e+02  0.0005172  
Ba  L  2.532210e+02  7.13e+01  0.0003121  
Au  L  2.574525e+02  6.21e+01  8.112e-05  
Hg  L  1.012993e+02  7.01e+01  3.115e-05  
Pb  L  1.440084e+03  1.46e+02  0.0003764  

SOURCE: ISic000079-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  7.655120e+01  2.89e+01  0.004056  
