SOURCE: t-0CC-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
K  K  6.442753e+03  9.07e+01  0.03616  
Ca  K  1.549864e+04  1.34e+02  0.0451  
Sc  K  2.503891e+01  4.28e+01  4.363e-05  
Ti  K  3.262295e+02  4.25e+01  0.0003373  
V  K  4.626884e+01  2.96e+01  2.967e-05  
Cr  K  1.222164e+02  2.63e+01  4.84e-05  
Mn  K  4.397912e+02  3.44e+01  0.0001154  
Fe  K  5.826021e+04  2.45e+02  0.01011  
Co  K  3.422998e+02  5.22e+01  4.229e-05  
Ni  K  3.202807e+00  2.18e+01  3.699e-07  
Cu  K  7.296444e+02  3.58e+01  0.0001346  
Zn  K  9.927777e+02  4.08e+01  0.0001581  
As  K  5.486846e+02  9.28e+01  0.0001642  
Rb  K  1.885780e+04  1.77e+02  0.003016  
Sr  K  7.475167e+03  1.36e+02  0.001102  
Y  K  8.536752e+03  1.60e+02  0.001181  
Zr  K  1.735512e+04  1.88e+02  0.002303  
Rh  K  1.593893e+04  4.68e+03  0.003584  
Rh  L  8.483602e+00  6.15e+01  0.0001216  
Pd  K  1.571457e+04  6.73e+02  0.003864  
Pd  L  4.360246e+02  7.40e+01  0.004908  
Sn  K  1.096493e+03  1.38e+02  0.0004814  
Ba  L  1.729900e+02  6.48e+01  0.0002086  
Au  L  1.518056e+02  6.71e+01  4.885e-05  
Hg  L  1.038687e+01  7.51e+01  3.136e-06  
Pb  L  1.686243e+03  1.59e+02  0.0004409  

SOURCE: t-10CC-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  4.616041e+01  3.26e+01  0.002409  
Cl  K  1.766314e-01  3.91e+01  4.183e-06  
Ar  K  4.234699e+02  5.12e+01  0.005065  
K  K  6.307211e+03  9.02e+01  0.03554  
Ca  K  1.551605e+04  1.34e+02  0.04534  
Sc  K  3.171351e+01  4.33e+01  5.55e-05  
Ti  K  2.743407e+02  4.19e+01  0.0002849  
V  K  6.172612e+01  3.00e+01  3.975e-05  
Cr  K  1.247999e+02  2.60e+01  4.963e-05  
Mn  K  4.227004e+02  3.35e+01  0.0001114  
Fe  K  5.766716e+04  2.44e+02  0.01005  
Co  K  2.864284e+02  5.10e+01  3.552e-05  
Ni  K  3.682776e+01  2.12e+01  4.172e-06  
Cu  K  5.927423e+02  3.50e+01  0.0001093  
Zn  K  8.953418e+02  4.14e+01  0.0001427  
As  K  4.145385e+02  9.32e+01  0.0001244  
Rb  K  1.926732e+04  1.79e+02  0.00309  
Sr  K  7.539292e+03  1.37e+02  0.001114  
Y  K  9.182323e+03  1.62e+02  0.001274  
Zr  K  1.858065e+04  1.92e+02  0.002474  
Rh  K  1.060909e+04  4.80e+03  0.002393  
Rh  L  9.463424e+01  6.47e+01  0.001362  
Pd  K  1.136820e+04  6.87e+02  0.002804  
Pd  L  3.359648e+02  7.53e+01  0.003796  
Sn  K  1.248753e+03  1.39e+02  0.00055  
Ba  L  1.660003e+02  6.45e+01  0.000201  
Au  L  2.022707e+02  6.92e+01  6.512e-05  
Hg  L  1.366439e+02  7.74e+01  4.138e-05  
Pb  L  1.857925e+03  1.60e+02  0.0004866  

SOURCE: t-20CC-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.215012e+02  3.47e+01  0.006328  
Cl  K  4.827934e+01  4.16e+01  0.001141  
Ar  K  3.816765e+02  5.28e+01  0.004557  
K  K  6.331577e+03  9.13e+01  0.03561  
Ca  K  2.854443e+04  1.79e+02  0.08325  
Sc  K  2.203193e+01  5.30e+01  3.848e-05  
Ti  K  3.170587e+02  4.15e+01  0.0003286  
V  K  2.463479e+01  2.95e+01  1.583e-05  
Cr  K  1.660328e+02  2.70e+01  6.591e-05  
Mn  K  3.544326e+02  3.25e+01  9.325e-05  
Fe  K  4.883715e+04  2.25e+02  0.008495  
Co  K  2.282058e+02  4.94e+01  2.825e-05  
Ni  K  5.324857e+01  2.21e+01  6.071e-06  
Cu  K  5.217134e+02  3.23e+01  9.618e-05  
Zn  K  7.634079e+02  3.82e+01  0.0001216  
As  K  2.718755e+02  9.03e+01  8.149e-05  
Rb  K  1.587082e+04  1.66e+02  0.002542  
Sr  K  1.231930e+04  1.58e+02  0.001818  
Y  K  7.483876e+03  1.54e+02  0.001037  
Zr  K  1.479458e+04  1.83e+02  0.001967  
Rh  K  1.206023e+04  4.86e+03  0.002716  
Rh  L  1.344329e+01  6.64e+01  0.0001931  
Pd  K  1.340430e+04  6.94e+02  0.003302  
Pd  L  3.603418e+02  7.84e+01  0.004064  
Sn  K  1.036955e+03  1.38e+02  0.000456  
Ba  L  8.360964e+01  6.39e+01  0.000101  
Au  L  2.412843e+02  6.71e+01  7.764e-05  
Hg  L  1.975133e+02  7.93e+01  5.973e-05  
Pb  L  1.522683e+03  1.56e+02  0.0003984  

SOURCE: t-20CC-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.226655e+01  3.22e+01  0.001165  
Cl  K  1.769382e+00  3.99e+01  4.202e-05  
Ar  K  3.075405e+02  5.10e+01  0.003688  
K  K  6.160687e+03  9.00e+01  0.03481  
Ca  K  2.876681e+04  1.79e+02  0.08429  
Sc  K  7.631080e+01  5.37e+01  0.0001339  
Ti  K  3.573715e+02  4.09e+01  0.0003721  
V  K  1.309505e+00  2.77e+01  8.456e-07  
Cr  K  9.572771e+01  2.43e+01  3.817e-05  
Mn  K  4.124038e+02  3.26e+01  0.000109  
Fe  K  4.758481e+04  2.23e+02  0.008313  
Co  K  2.813646e+02  4.94e+01  3.498e-05  
Ni  K  2.435961e+01  2.31e+01  2.71e-06  
Cu  K  4.826152e+02  3.16e+01  8.879e-05  
Zn  K  8.191676e+02  3.88e+01  0.0001306  
As  K  4.147487e+02  8.97e+01  0.0001247  
Rb  K  1.641941e+04  1.68e+02  0.002638  
Sr  K  1.232137e+04  1.57e+02  0.001824  
Y  K  7.473848e+03  1.53e+02  0.001039  
Zr  K  1.514296e+04  1.83e+02  0.00202  
Rh  K  1.102986e+04  4.82e+03  0.002493  
Rh  L  1.713431e+02  6.78e+01  0.002472  
Pd  K  9.448067e+03  6.89e+02  0.002335  
Pd  L  4.460917e+02  7.87e+01  0.005052  
Sn  K  1.147382e+03  1.38e+02  0.0005064  
Ba  L  8.417318e+01  6.08e+01  0.0001022  
Au  L  1.017827e+02  6.54e+01  3.274e-05  
Hg  L  1.133076e+02  7.57e+01  3.437e-05  
Pb  L  1.699633e+03  1.55e+02  0.0004454  

SOURCE: t-20CC-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  7.407797e+01  3.35e+01  0.003876  
Cl  K  5.791235e+01  4.00e+01  0.001375  
Ar  K  4.252226e+02  5.09e+01  0.0051  
K  K  5.964836e+03  8.86e+01  0.03371  
Ca  K  2.819146e+04  1.77e+02  0.08261  
Sc  K  1.604046e+02  5.37e+01  0.0002815  
