SOURCE: ISic000086-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  3.328541e+01  5.25e+01  0.001813  
P  K  1.726273e-01  9.16e+01  1.584e-06  
S  K  6.909209e+03  1.25e+02  0.01929  
Cl  K  8.567321e+03  2.54e+02  0.0122  
Ar  K  1.199839e+03  2.36e+02  0.001028  
K  K  1.192869e+04  1.69e+02  0.005262  
Ca  K  1.037419e+06  1.04e+03  0.4571  
Sc  K  7.187477e+02  2.65e+02  0.0006238  
Ti  K  1.709570e+03  9.70e+01  0.001039  
V  K  2.476082e-01  8.01e+01  1.19e-07  
Cr  K  6.979880e+03  1.24e+02  0.002483  
Mn  K  1.052241e+03  1.02e+02  0.0003146  
Fe  K  2.359265e+04  1.93e+02  0.005884  
Co  K  7.572446e+02  1.06e+02  0.000168  
Ni  K  7.530143e+02  1.41e+02  0.0001446  
Cu  K  4.019996e+02  8.78e+01  7.371e-05  
Zn  K  1.269294e+03  9.50e+01  0.0002293  
As  K  2.491374e+02  8.43e+01  4.941e-05  
Rb  K  9.281576e+01  5.33e+01  4.127e-05  
Sr  K  4.768745e+01  4.17e+01  2.99e-05  
Y  K  1.174653e+00  1.42e+01  1.294e-06  
Zr  K  1.722000e+05  1.75e+05  0.3533  
Rh  L  6.091579e+04  5.07e+02  0.1134  
Pd  L  2.013262e+01  4.71e+02  2.7e-05  

SOURCE: ISic000086-MK-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  5.193716e+01  5.14e+01  0.002813  
P  K  1.890973e-01  8.71e+01  1.734e-06  
S  K  1.230447e+04  1.46e+02  0.03432  
Cl  K  7.567878e+03  2.50e+02  0.01077  
Ar  K  5.413962e+02  2.32e+02  0.0004633  
K  K  1.015561e+04  1.59e+02  0.004472  
Ca  K  8.684115e+05  9.52e+02  0.3796  
Sc  K  9.055113e+02  2.47e+02  0.0007745  
Ti  K  1.939396e+03  9.83e+01  0.001161  
V  K  8.796891e+01  8.11e+01  4.168e-05  
Cr  K  6.932151e+03  1.24e+02  0.002431  
Mn  K  1.160526e+03  1.01e+02  0.0003425  
Fe  K  2.517564e+04  1.97e+02  0.006201  
Co  K  7.946604e+02  1.04e+02  0.0001742  
Ni  K  6.899054e+02  1.35e+02  0.0001313  
Cu  K  2.107144e+02  8.62e+01  3.828e-05  
Zn  K  2.533402e+03  1.02e+02  0.0004535  
As  K  4.728918e+02  8.35e+01  9.295e-05  
Rb  K  4.724086e+01  5.19e+01  2.082e-05  
Sr  K  2.235152e+01  4.09e+01  1.389e-05  
Y  K  4.792844e-01  1.29e+01  5.234e-07  
Zr  K  2.572110e+05  1.73e+05  0.5231  
Rh  L  6.121738e+04  5.09e+02  0.1139  
Pd  L  3.226694e+01  4.70e+02  4.322e-05  

SOURCE: ISic000086-MK-g.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.127011e+02  5.32e+01  0.01161  
P  K  7.014711e+02  8.76e+01  0.006689  
S  K  1.233586e+04  1.47e+02  0.03579  
Cl  K  6.822807e+03  2.45e+02  0.01009  
Ar  K  1.311237e+03  2.36e+02  0.001163  
K  K  1.155531e+04  1.66e+02  0.005264  
Ca  K  8.692313e+05  9.53e+02  0.382  
Sc  K  1.376669e+03  2.50e+02  0.001148  
Ti  K  1.933163e+03  9.95e+01  0.001128  
V  K  2.597680e+02  8.27e+01  0.0001199  
Cr  K  7.106557e+03  1.24e+02  0.002429  
Mn  K  8.967889e+02  1.00e+02  0.0002584  
Fe  K  3.836148e+04  2.32e+02  0.009235  
Co  K  7.596151e+02  1.07e+02  0.0001628  
Ni  K  9.648981e+02  1.34e+02  0.0001807  
Cu  K  2.875858e+02  8.64e+01  5.142e-05  
Zn  K  1.927641e+03  9.79e+01  0.0003396  
As  K  4.418476e+02  8.34e+01  8.548e-05  
Rb  K  1.724129e+02  5.13e+01  7.48e-05  
Sr  K  9.613161e+01  3.97e+01  5.882e-05  
Y  K  3.051047e+01  1.21e+01  3.281e-05  
Zr  K  1.137158e+05  1.60e+05  0.2277  
Rh  L  6.261945e+04  5.09e+02  0.1208  
Pd  L  2.226775e+03  4.74e+02  0.003092  

SOURCE: ISic000086-MK-h.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.214129e+01  4.93e+01  0.001199  
P  K  6.188297e-01  8.14e+01  5.638e-06  
S  K  7.042169e+03  1.22e+02  0.01953  
Cl  K  7.563121e+03  2.47e+02  0.01071  
Ar  K  1.123355e+03  2.34e+02  0.0009586  
K  K  1.202903e+04  1.64e+02  0.005296  
Ca  K  7.437968e+05  8.83e+02  0.3248  
Sc  K  2.367211e+02  2.33e+02  0.0001999  
Ti  K  2.436831e+03  1.01e+02  0.001441  
V  K  1.197832e-01  8.12e+01  5.606e-08  
Cr  K  7.111992e+03  1.24e+02  0.002467  
Mn  K  1.105232e+03  1.00e+02  0.0003235  
Fe  K  3.585827e+04  2.26e+02  0.008777  
Co  K  1.063485e+03  1.08e+02  0.000232  
Ni  K  5.100884e+02  1.29e+02  9.744e-05  
Cu  K  2.932793e+02  8.66e+01  5.351e-05  
Zn  K  1.483802e+03  9.47e+01  0.0002668  
As  K  3.685624e+02  8.17e+01  7.28e-05  
Rb  K  1.103145e+02  4.98e+01  4.888e-05  
Sr  K  4.682939e+01  3.72e+01  2.927e-05  
Y  K  1.023136e+00  1.17e+01  1.124e-06  
Zr  K  1.867550e+05  1.57e+05  0.382  
Rh  L  6.266871e+04  5.09e+02  0.1162  
Pd  L  3.533985e+01  4.68e+02  4.721e-05  

SOURCE: ISic000086-MK-i.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  8.317419e+01  5.21e+01  0.004541  
P  K  7.856141e+02  8.98e+01  0.007358  
S  K  5.839845e+03  1.19e+02  0.01702  
Cl  K  8.259215e+03  2.51e+02  0.01228  
Ar  K  1.963217e+03  2.35e+02  0.001752  
K  K  1.352085e+04  1.74e+02  0.0062  
Ca  K  9.415307e+05  9.91e+02  0.4167  
Sc  K  1.712009e+02  2.53e+02  0.0001436  
Ti  K  1.898381e+03  9.80e+01  0.001114  
V  K  1.294981e+02  8.00e+01  6.012e-05  
Cr  K  7.079586e+03  1.25e+02  0.002433  
Mn  K  7.807478e+02  9.92e+01  0.000226  
Fe  K  3.572161e+04  2.31e+02  0.008635  
Co  K  1.006779e+03  1.10e+02  0.0002167  
Ni  K  6.838338e+02  1.36e+02  0.0001283  
Cu  K  2.821279e+02  8.69e+01  5.053e-05  
Zn  K  1.304207e+03  9.41e+01  0.0002301  
As  K  3.126237e+02  8.38e+01  6.057e-05  
Rb  K  2.315782e+02  5.30e+01  0.0001006  
Sr  K  7.399535e+01  3.93e+01  4.534e-05  
Y  K  4.613999e+01  1.31e+01  4.967e-05  
Zr  K  1.964373e+05  1.63e+05  0.3939  
Rh  L  6.467044e+04  5.12e+02  0.1255  
Pd  L  3.893836e+03  4.73e+02  0.005441  

SOURCE: ISic000092-MK-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  5.715493e+01  5.35e+01  0.003093  
P  K  8.749587e+02  9.74e+01  0.008001  
S  K  1.927855e+04  1.72e+02  0.05355  
Cl  K  2.823809e+03  2.37e+02  0.00399  
Ar  K  1.718458e+03  2.37e+02  0.001456  
K  K  8.951316e+02  1.18e+02  0.000388  
Ca  K  1.055140e+06  1.05e+03  0.4561  
Sc  K  3.095212e+02  2.70e+02  0.0002701  
Ti  K  7.194006e+02  8.99e+01  0.0004395  
V  K  1.464490e+02  7.88e+01  7.076e-05  
Cr  K  6.836013e+03  1.23e+02  0.002442  
Mn  K  1.431333e+03  1.02e+02  0.0004287  
Fe  K  8.843991e+03  1.40e+02  0.002207  
Co  K  6.817580e+02  9.81e+01  0.0001511  
Ni  K  8.993481e+02  1.33e+02  0.0001714  
Cu  K  3.038016e+03  1.05e+02  0.0005527  
Zn  K  1.596485e+03  9.57e+01  0.0002861  
As  K  2.499394e+02  8.25e+01  4.916e-05  
Rb  K  1.560055e+02  5.12e+01  6.877e-05  
Sr  K  4.267800e+01  3.93e+01  2.653e-05  
Y  K  3.756931e+01  1.30e+01  4.103e-05  
Zr  K  3.465538e+05  1.67e+05  0.7048  
Rh  L  6.150472e+04  5.04e+02  0.1134  
Pd  L  1.386298e+03  4.75e+02  0.001837  

SOURCE: ISic000092-MK-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.246743e-01  5.18e+01  2.293e-05  
P  K  2.893638e-01  9.47e+01  2.611e-06  
S  K  1.987787e+04  1.73e+02  0.05449  
Cl  K  3.901944e+03  2.36e+02  0.005444  
Ar  K  1.212752e+03  2.32e+02  0.001015  
K  K  9.336179e+02  1.17e+02  0.0004002  
Ca  K  1.025857e+06  1.03e+03  0.4423  
Sc  K  2.363928e+02  2.70e+02  0.0002073  
Ti  K  7.459013e+02  9.06e+01  0.0004579  
V  K  7.904290e+01  7.84e+01  3.838e-05  
Cr  K  7.238716e+03  1.24e+02  0.002599  
