SOURCE: ISic000003-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Zr  K  4.797931e+00  1.22e+02  6.286e-07  
Rh  K  1.185307e+04  3.40e+03  0.00263  
Rh  L  7.243676e-01  7.80e+01  1.024e-05  
Pd  K  8.280576e+03  4.78e+02  0.00201  
Pd  L  9.104494e+02  9.41e+01  0.0101  
Sn  K  1.101599e+03  9.75e+01  0.0004773  
Ba  L  1.437924e+01  4.35e+01  1.708e-05  
Au  L  2.039326e+02  5.36e+01  6.507e-05  
Hg  L  2.126458e+02  5.65e+01  6.342e-05  
Pb  L  2.130731e+03  1.32e+02  0.0005513  

SOURCE: ISic000004-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.586880e+02  4.13e+01  0.01788  
Cl  K  2.500736e+02  4.86e+01  0.005655  
Ar  K  8.336802e+02  6.37e+01  0.009517  
K  K  1.106588e+03  5.16e+01  0.005951  
Ca  K  2.335209e+05  4.87e+02  0.651  
Sc  K  2.303585e+01  1.01e+02  3.846e-05  
Ti  K  5.379314e+01  2.64e+01  5.33e-05  
V  K  5.406935e+01  1.94e+01  3.323e-05  
Cr  K  1.174861e+02  1.85e+01  4.46e-05  
Mn  K  4.463974e+01  1.63e+01  1.124e-05  
Fe  K  1.214255e+03  3.91e+01  0.0002022  
Co  K  3.208065e+01  1.74e+01  3.806e-06  
Ni  K  3.066198e+01  2.59e+01  4.174e-06  
Cu  K  1.053063e+03  3.82e+01  0.0001927  
Zn  K  5.566502e+02  3.11e+01  8.701e-05  
As  K  5.743932e-01  6.93e+01  1.672e-07  
Rb  K  3.290366e+02  7.12e+01  5.106e-05  
Sr  K  1.208686e+04  1.45e+02  0.001728  
Y  K  6.686666e+02  8.67e+01  8.97e-05  
Zr  K  6.715159e+02  1.03e+02  8.641e-05  
Rh  K  5.919160e+03  3.66e+03  0.001289  
Rh  L  1.269771e+02  7.79e+01  0.001754  
Pd  K  8.458658e+03  5.29e+02  0.002015  
Pd  L  7.291233e+02  9.27e+01  0.0079  
Sn  K  1.028286e+03  1.00e+02  0.0004371  
Ba  L  3.961455e+01  3.93e+01  4.583e-05  
Au  L  2.822918e+02  5.44e+01  8.956e-05  
Hg  L  2.629868e+02  5.76e+01  7.717e-05  
Pb  L  9.965588e+02  1.23e+02  0.0002549  

SOURCE: ISic000004-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.286486e+02  3.92e+01  0.01147  
Cl  K  2.358506e+02  4.77e+01  0.005366  
Ar  K  8.692967e+02  6.35e+01  0.009984  
K  K  9.964029e+02  5.04e+01  0.005391  
Ca  K  2.359426e+05  4.89e+02  0.6618  
Sc  K  8.197361e+00  1.02e+02  1.377e-05  
Ti  K  4.917241e+01  2.73e+01  4.902e-05  
V  K  2.104292e+01  2.03e+01  1.301e-05  
Cr  K  2.834568e+01  1.59e+01  1.083e-05  
Mn  K  3.977710e+01  1.65e+01  1.007e-05  
Fe  K  4.978067e+02  2.79e+01  8.339e-05  
Co  K  4.621821e+01  1.72e+01  5.516e-06  
Ni  K  1.566709e+00  2.50e+01  2.068e-07  
Cu  K  3.260015e+02  2.52e+01  5.972e-05  
Zn  K  2.043712e+02  2.36e+01  3.202e-05  
As  K  1.079514e+00  6.88e+01  3.153e-07  
Rb  K  4.270022e+02  7.22e+01  6.652e-05  
Sr  K  2.036853e+04  1.76e+02  0.002923  
Y  K  5.373327e+02  8.60e+01  7.236e-05  
Zr  K  3.125680e+02  1.09e+02  4.038e-05  
Rh  K  1.563159e+04  3.69e+03  0.003419  
Rh  L  9.387250e+01  7.64e+01  0.001303  
Pd  K  1.029405e+04  5.29e+02  0.002462  
Pd  L  7.623604e+02  9.11e+01  0.008304  
Sn  K  1.303445e+03  1.01e+02  0.0005563  
Ba  L  9.811690e+01  4.37e+01  0.0001142  
Au  L  3.516771e+02  5.41e+01  0.0001118  
Hg  L  2.979359e+02  5.73e+01  8.774e-05  
Pb  L  7.989306e+02  1.22e+02  0.0002049  

SOURCE: ISic000004-t-d.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.444828e+02  4.17e+01  0.01748  
Cl  K  2.359652e+02  4.96e+01  0.005433  
Ar  K  8.326566e+02  6.43e+01  0.00968  
K  K  9.989596e+02  5.10e+01  0.005471  
Ca  K  2.387488e+05  4.92e+02  0.678  
Sc  K  1.409363e+01  1.04e+02  2.397e-05  
Ti  K  1.044704e+02  2.79e+01  0.0001054  
V  K  2.395529e+01  2.02e+01  1.499e-05  
Cr  K  5.900121e+01  1.67e+01  2.281e-05  
Mn  K  9.309097e+01  1.81e+01  2.386e-05  
Fe  K  9.412932e+02  3.51e+01  0.0001596  
Co  K  5.262622e+01  1.70e+01  6.353e-06  
Ni  K  1.930834e+01  2.66e+01  2.413e-06  
Cu  K  3.835967e+02  2.64e+01  7.042e-05  
Zn  K  3.232014e+02  2.67e+01  5.089e-05  
As  K  4.475655e+00  7.30e+01  1.317e-06  
Rb  K  3.213937e+02  7.16e+01  5.047e-05  
Sr  K  2.969618e+04  2.04e+02  0.004296  
Y  K  5.362621e+02  8.59e+01  7.282e-05  
Zr  K  1.845962e+00  1.13e+02  2.405e-07  
Rh  K  1.590618e+04  3.60e+03  0.003509  
Rh  L  1.495505e+02  7.97e+01  0.002098  
Pd  K  9.587346e+03  5.08e+02  0.002313  
Pd  L  6.977642e+02  9.28e+01  0.007682  
Sn  K  1.292390e+03  1.01e+02  0.0005564  
Ba  L  4.858166e+01  4.11e+01  5.721e-05  
Au  L  3.370866e+02  5.52e+01  0.0001075  
Hg  L  5.330881e+02  6.08e+01  0.0001582  
Pb  L  1.397580e+03  1.28e+02  0.0003605  

SOURCE: ISic000004-t-e.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.347996e+02  4.04e+01  0.01185  
Cl  K  2.621488e+02  5.02e+01  0.006  
Ar  K  8.028723e+02  6.50e+01  0.009278  
K  K  1.184742e+03  5.34e+01  0.00645  
Ca  K  2.454995e+05  5.00e+02  0.6929  
Sc  K  1.081952e-01  1.04e+02  1.829e-07  
Ti  K  5.690990e+01  2.82e+01  5.709e-05  
V  K  1.106112e+01  2.01e+01  6.882e-06  
Cr  K  9.672647e+01  1.78e+01  3.717e-05  
Mn  K  6.030025e+01  1.70e+01  1.536e-05  
Fe  K  9.916691e+02  3.62e+01  0.0001671  
Co  K  5.916443e+01  1.84e+01  7.103e-06  
Ni  K  2.114121e-01  2.54e+01  2.732e-08  
Cu  K  3.545156e+02  2.58e+01  6.508e-05  
Zn  K  2.506903e+02  2.45e+01  3.941e-05  
As  K  9.723140e+01  7.40e+01  2.852e-05  
Rb  K  3.010811e+02  7.11e+01  4.711e-05  
Sr  K  3.516145e+04  2.19e+02  0.005068  
Y  K  6.913539e+02  8.67e+01  9.353e-05  
Zr  K  2.684796e+02  1.18e+02  3.484e-05  
Rh  K  1.628384e+04  3.57e+03  0.003578  
Rh  L  1.248019e+02  8.06e+01  0.001742  
Pd  K  9.880455e+03  5.11e+02  0.002374  
Pd  L  7.268746e+02  9.44e+01  0.007962  
Sn  K  1.194211e+03  1.01e+02  0.0005121  
Ba  L  1.418257e+02  4.37e+01  0.0001661  
Au  L  2.633887e+02  5.42e+01  8.392e-05  
Hg  L  2.472431e+02  5.76e+01  7.312e-05  
Pb  L  1.437529e+03  1.28e+02  0.00037  

SOURCE: ISic000004-t-f.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.231510e+02  4.09e+01  0.01641  
Cl  K  2.603659e+02  4.89e+01  0.006  
Ar  K  9.029473e+02  6.55e+01  0.01051  
K  K  1.048188e+03  5.20e+01  0.005746  
Ca  K  2.488469e+05  5.03e+02  0.7073  
Sc  K  1.517074e+02  1.06e+02  0.0002583  
Ti  K  4.697659e+01  2.78e+01  4.745e-05  
V  K  2.220883e+01  2.03e+01  1.391e-05  
Cr  K  7.460171e+01  1.70e+01  2.887e-05  
Mn  K  4.605501e+01  1.66e+01  1.181e-05  
Fe  K  9.517588e+02  3.54e+01  0.0001615  
Co  K  1.074469e+01  1.63e+01  1.298e-06  
Ni  K  2.033665e+01  2.80e+01  2.524e-06  
Cu  K  2.982723e+02  2.53e+01  5.473e-05  
Zn  K  2.592819e+02  2.55e+01  4.083e-05  
As  K  2.384340e+01  7.46e+01  7.018e-06  
Rb  K  4.324264e+02  7.29e+01  6.793e-05  
Sr  K  1.615389e+04  1.61e+02  0.002338  
Y  K  5.883931e+02  8.80e+01  7.993e-05  
Zr  K  6.033597e+02  1.09e+02  7.863e-05  
Rh  K  9.550275e+03  3.67e+03  0.002108  
Rh  L  1.011339e+02  7.83e+01  0.00142  
Pd  K  9.284427e+03  5.34e+02  0.002241  
Pd  L  7.783979e+02  9.37e+01  0.008576  
Sn  K  1.076315e+03  1.02e+02  0.0004637  
Ba  L  5.690129e+01  4.26e+01  6.707e-05  
Au  L  1.854876e+02  5.42e+01  5.914e-05  
Hg  L  2.080595e+02  5.86e+01  6.176e-05  
Pb  L  1.659817e+03  1.30e+02  0.0004282  

SOURCE: ISic000006-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.370114e+02  3.76e+01  0.01197  
Cl  K  2.505975e+02  4.58e+01  0.005743  
Ar  K  7.965922e+02  6.09e+01  0.009218  
K  K  1.101237e+03  5.03e+01  0.006003  
Ca  K  1.918654e+05  4.42e+02  0.5423  
Sc  K  2.196915e+00  9.53e+01  3.719e-06  
Ti  K  5.761443e+01  2.80e+01  5.787e-05  
V  K  4.075595e-01  1.95e+01  2.539e-07  
Cr  K  8.510833e+01  1.67e+01  3.275e-05  
Mn  K  1.211326e+02  1.84e+01  3.09e-05  
Fe  K  2.220952e+03  5.10e+01  0.0003747  
Co  K  1.900221e+01  1.89e+01  2.283e-06  
Ni  K  6.604193e+01  2.53e+01  8.134e-06  
Cu  K  3.923072e+02  2.58e+01  7.156e-05  
Zn  K  3.456043e+02  2.65e+01  5.411e-05  
As  K  2.263260e+00  7.27e+01  6.624e-07  
Rb  K  2.391036e+02  6.74e+01  3.735e-05  
Sr  K  7.641030e+03  1.22e+02  0.0011  
Y  K  4.787181e+02  8.12e+01  6.466e-05  
Zr  K  8.046318e+02  9.51e+01  0.0001043  
Rh  K  1.330688e+04  3.52e+03  0.00292  
Rh  L  4.200413e+01  7.17e+01  0.0005863  
Pd  K  9.321112e+03  5.10e+02  0.002237  
Pd  L  6.083959e+02  8.60e+01  0.006666  
Sn  K  9.613586e+02  9.65e+01  0.0004118  
Ba  L  1.077714e+02  4.42e+01  0.0001263  
Au  L  2.776503e+02  5.23e+01  8.801e-05  
Hg  L  1.463006e+02  5.33e+01  4.318e-05  
Pb  L  1.730817e+03  1.27e+02  0.0004439  

SOURCE: ISic000006-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  5.079800e+02  4.26e+01  0.02579  
Cl  K  3.162340e+02  4.88e+01  0.007285  
Ar  K  7.109855e+02  6.24e+01  0.00827  
K  K  1.074170e+03  5.08e+01  0.005887  
Ca  K  2.208717e+05  4.74e+02  0.6276  
Sc  K  3.643891e+02  1.01e+02  0.0006201  
Ti  K  1.047821e+02  2.96e+01  0.0001058  
V  K  1.713070e+00  2.07e+01  1.073e-06  
Cr  K  4.136070e+01  1.58e+01  1.6e-05  
Mn  K  1.032898e+02  1.91e+01  2.649e-05  
Fe  K  1.849303e+03  4.73e+01  0.0003136  
Co  K  2.335637e+01  1.79e+01  2.821e-06  
Ni  K  4.070663e+01  2.59e+01  4.978e-06  
Cu  K  4.147049e+02  2.68e+01  7.588e-05  
Zn  K  3.866681e+02  2.74e+01  6.076e-05  
As  K  1.187044e+02  7.44e+01  3.489e-05  
Rb  K  4.630144e+02  7.09e+01  7.265e-05  
Sr  K  8.713914e+03  1.27e+02  0.00126  
Y  K  6.202745e+02  8.53e+01  8.416e-05  
Zr  K  6.909431e+02  1.00e+02  8.994e-05  
Rh  K  1.159895e+04  3.67e+03  0.002557  
Rh  L  6.337428e+01  7.73e+01  0.000889  
Pd  K  5.535874e+03  5.29e+02  0.001335  
Pd  L  8.030158e+02  9.20e+01  0.008841  
Sn  K  9.901634e+02  1.00e+02  0.0004261  
Ba  L  2.283188e+02  4.71e+01  0.000269  
Au  L  2.582949e+02  5.30e+01  8.216e-05  
Hg  L  2.318793e+02  5.55e+01  6.874e-05  
Pb  L  1.868671e+03  1.31e+02  0.0004812  

SOURCE: ISic000006-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  3.106872e+02  3.76e+01  0.01536  
Cl  K  2.042518e+02  4.52e+01  0.004581  
Ar  K  7.369879e+02  6.06e+01  0.008344  
K  K  9.883628e+02  4.86e+01  0.005271  
Ca  K  1.948667e+05  4.45e+02  0.5388  
Sc  K  8.910630e+01  9.49e+01  0.0001476  
Ti  K  5.899155e+01  2.70e+01  5.797e-05  
V  K  1.580652e+00  1.81e+01  9.634e-07  
Cr  K  7.332130e+01  1.65e+01  2.761e-05  
Mn  K  8.772608e+01  1.76e+01  2.19e-05  
Fe  K  2.017237e+03  4.87e+01  0.0003332  
Co  K  4.100393e+01  1.84e+01  4.826e-06  
Ni  K  1.769203e+01  2.28e+01  2.434e-06  
Cu  K  3.360966e+02  2.41e+01  6.115e-05  
Zn  K  1.629754e+02  2.17e+01  2.531e-05  
As  K  2.475246e+01  6.52e+01  7.156e-06  
Rb  K  3.725960e+02  6.67e+01  5.742e-05  
Sr  K  6.764448e+03  1.17e+02  0.0009602  
Y  K  4.266264e+02  7.99e+01  5.683e-05  
Zr  K  5.124396e+02  9.23e+01  6.548e-05  
Rh  K  1.184951e+04  3.41e+03  0.002563  
Rh  L  1.820280e+02  7.41e+01  0.002495  
Pd  K  7.568637e+03  4.95e+02  0.00179  
Pd  L  7.003660e+02  8.82e+01  0.00753  
Sn  K  1.030239e+03  9.52e+01  0.0004348  
Ba  L  7.374085e+01  4.17e+01  8.462e-05  
Au  L  2.729727e+02  4.93e+01  8.608e-05  
Hg  L  2.246078e+02  5.21e+01  6.546e-05  
Pb  L  9.880033e+02  1.16e+02  0.0002511  

SOURCE: ISic000043-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  2.232733e+03  5.73e+01  0.1169  
Cl  K  1.113937e+02  3.90e+01  0.002648  
Ar  K  6.965950e+02  5.31e+01  0.008367  
K  K  9.104054e+02  4.45e+01  0.005153  
Ca  K  1.016714e+05  3.23e+02  0.2984  
Sc  K  3.166628e+00  7.74e+01  5.565e-06  
Ti  K  2.580361e+02  3.30e+01  0.000269  
V  K  2.710670e+01  2.13e+01  1.752e-05  
Cr  K  7.048064e+01  1.75e+01  2.812e-05  
Mn  K  2.489220e+02  2.37e+01  6.579e-05  
Fe  K  1.436664e+04  1.22e+02  0.002508  
Co  K  4.322908e+01  2.84e+01  5.365e-06  
Ni  K  6.651365e+01  2.42e+01  6.405e-06  
Cu  K  3.942003e+02  2.59e+01  6.933e-05  
Zn  K  1.797383e+03  4.79e+01  0.0002798  
As  K  3.077345e+01  6.75e+01  9.226e-06  
Rb  K  6.505492e+02  6.89e+01  0.0001044  
Sr  K  1.372536e+04  1.48e+02  0.002031  
Y  K  7.586882e+02  8.07e+01  0.0001054  
Zr  K  1.220127e+03  1.01e+02  0.0001627  
Rh  K  1.001071e+04  3.23e+03  0.002263  
Rh  L  4.981539e+01  6.20e+01  0.0007193  
Pd  K  7.835118e+03  4.68e+02  0.001938  
Pd  L  2.853987e+02  7.32e+01  0.003236  
Sn  K  8.862353e+02  8.88e+01  0.0003915  
Ba  L  1.348480e+02  4.70e+01  0.0001638  
Au  L  2.158432e+02  5.35e+01  6.755e-05  
Hg  L  2.741977e+02  5.59e+01  8.297e-05  
Pb  L  1.211237e+03  1.17e+02  0.000313  

SOURCE: ISic000043-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  9.110381e+01  3.19e+01  0.004629  
Cl  K  1.691207e+02  4.13e+01  0.0039  
Ar  K  8.082684e+02  5.87e+01  0.009413  
K  K  9.524006e+02  4.64e+01  0.005226  
Ca  K  1.614050e+05  4.05e+02  0.4592  
Sc  K  1.643628e+02  8.57e+01  0.00028  
Ti  K  1.120809e+02  2.47e+01  0.0001133  
V  K  6.418150e+00  1.69e+01  4.024e-06  
Cr  K  5.796609e+01  1.52e+01  2.245e-05  
Mn  K  2.235650e+02  2.16e+01  5.739e-05  
Fe  K  3.315141e+03  6.11e+01  0.0005627  
Co  K  2.743293e+01  1.95e+01  3.315e-06  
Ni  K  4.929478e+01  2.45e+01  5.709e-06  
Cu  K  2.588704e+02  2.28e+01  4.694e-05  
Zn  K  3.118864e+02  2.50e+01  4.873e-05  
As  K  9.546419e+01  5.74e+01  2.799e-05  
Rb  K  3.074145e+02  6.23e+01  4.813e-05  
Sr  K  1.354126e+04  1.45e+02  0.001954  
Y  K  5.277143e+02  7.45e+01  7.147e-05  
Zr  K  7.402739e+02  9.44e+01  9.619e-05  
Rh  K  4.847858e+03  3.14e+03  0.001067  
Rh  L  2.241714e+01  6.75e+01  0.0003144  
Pd  K  7.946826e+03  4.60e+02  0.001913  
Pd  L  6.414142e+02  8.17e+01  0.007062  
Sn  K  9.310808e+02  8.60e+01  0.0004001  
Ba  L  6.212211e+01  3.65e+01  7.325e-05  
Au  L  2.370794e+02  4.79e+01  7.489e-05  
Hg  L  2.451718e+02  5.12e+01  7.25e-05  
Pb  L  5.210170e+02  1.05e+02  0.0001336  

SOURCE: ISic000043-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.269950e+03  5.04e+01  0.0659  
Cl  K  9.674900e+01  4.36e+01  0.002279  
Ar  K  7.062760e+02  6.07e+01  0.008403  
K  K  1.186603e+03  5.12e+01  0.006652  
Ca  K  1.892045e+05  4.39e+02  0.5499  
Sc  K  1.849085e+01  9.73e+01  3.219e-05  
