SOURCE: 0-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.088371e+03  6.62e+01  0.1181  
P  K  6.977045e-01  5.13e+01  1.073e-05  
S  K  3.125494e+03  8.67e+01  0.01458  
Cl  K  3.238139e+03  2.01e+02  0.007534  
Ar  K  8.104591e+00  1.99e+02  1.083e-05  
K  K  5.561026e+04  2.69e+02  0.03745  
Ca  K  1.403007e+05  4.10e+02  0.07066  
Sc  K  9.809325e-01  1.36e+02  4.56e-07  
Ti  K  3.423002e+03  1.08e+02  0.001103  
V  K  2.856101e+01  9.69e+01  7.222e-06  
Cr  K  7.831813e+03  1.41e+02  0.001464  
Mn  K  1.690675e+03  1.22e+02  0.0002741  
Fe  K  1.682275e+05  4.43e+02  0.02311  
Co  K  9.518841e+02  1.46e+02  0.0001176  
Ni  K  1.172193e+03  1.17e+02  0.0001382  
Cu  K  6.529286e+02  1.09e+02  7.342e-05  
Zn  K  1.082569e+03  1.13e+02  0.0001198  
As  K  5.683511e+02  1.07e+02  6.887e-05  
Rb  K  3.103907e+01  6.66e+01  8.421e-06  
Sr  K  3.098784e+01  4.93e+01  1.186e-05  
Y  K  4.889962e-02  1.55e+01  3.288e-08  
Zr  K  1.320311e+05  1.95e+05  0.1654  
Rh  L  5.971975e+04  4.54e+02  0.1771  
Pd  L  1.139588e+01  4.08e+02  2.415e-05  

SOURCE: 10-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.094218e+03  6.61e+01  0.1184  
P  K  5.385292e+02  5.10e+01  0.008286  
S  K  3.114154e+03  8.76e+01  0.01453  
Cl  K  2.547719e+03  2.01e+02  0.005929  
Ar  K  6.042301e+02  1.99e+02  0.0008072  
K  K  5.516463e+04  2.68e+02  0.03712  
Ca  K  1.410983e+05  4.07e+02  0.07082  
Sc  K  8.754936e+01  1.36e+02  4.058e-05  
Ti  K  3.140040e+03  1.08e+02  0.001009  
V  K  1.298923e+02  9.63e+01  3.274e-05  
Cr  K  7.292743e+03  1.38e+02  0.001359  
Mn  K  1.482519e+03  1.21e+02  0.0002395  
Fe  K  1.693692e+05  4.44e+02  0.02319  
Co  K  8.444202e+02  1.45e+02  0.000104  
Ni  K  1.207859e+03  1.17e+02  0.000142  
Cu  K  2.508898e+02  1.06e+02  2.814e-05  
Zn  K  1.039701e+03  1.12e+02  0.0001147  
As  K  3.814856e+02  1.05e+02  4.61e-05  
Rb  K  1.895592e+00  6.46e+01  5.129e-07  
Sr  K  2.833399e+01  4.80e+01  1.081e-05  
Y  K  3.208673e+01  1.48e+01  2.152e-05  
Zr  K  6.415416e+05  2.03e+05  0.8014  
Rh  L  6.239331e+04  4.52e+02  0.185  
Pd  L  4.333200e+03  4.08e+02  0.009182  

SOURCE: 20-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.798400e+03  6.55e+01  0.1015  
P  K  3.731172e+01  5.75e+01  0.0005277  
S  K  3.395605e+03  9.17e+01  0.01461  
Cl  K  2.894082e+03  2.03e+02  0.006254  
Ar  K  2.490065e+01  2.04e+02  3.126e-05  
K  K  5.153322e+04  2.64e+02  0.03285  
Ca  K  2.508601e+05  5.30e+02  0.1239  
Sc  K  1.987448e-01  1.62e+02  1.071e-07  
Ti  K  2.777040e+03  1.06e+02  0.001041  
V  K  1.327598e+01  9.59e+01  3.914e-06  
Cr  K  7.323876e+03  1.37e+02  0.001597  
Mn  K  1.364634e+03  1.18e+02  0.0002561  
Fe  K  1.403823e+05  4.12e+02  0.02225  
Co  K  9.891845e+02  1.42e+02  0.0001407  
Ni  K  1.224504e+03  1.25e+02  0.0001624  
Cu  K  3.824578e+02  1.06e+02  4.84e-05  
Zn  K  1.101140e+03  1.10e+02  0.0001372  
As  K  6.407758e+02  1.05e+02  8.75e-05  
Rb  K  2.843551e+01  6.47e+01  8.7e-06  
Sr  K  8.665517e+01  4.79e+01  3.74e-05  
Y  K  6.744956e-01  1.43e+01  5.115e-07  
Zr  K  5.954218e+04  1.87e+05  0.08412  
Rh  L  6.065542e+04  4.63e+02  0.1681  
Pd  L  1.568124e+02  4.23e+02  0.0003114  

SOURCE: 20-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.895514e+03  6.54e+01  0.1068  
P  K  2.398763e+00  5.90e+01  3.422e-05  
S  K  3.040056e+03  9.05e+01  0.01318  
Cl  K  2.531601e+03  2.01e+02  0.005506  
Ar  K  3.395938e+02  2.04e+02  0.0004285  
K  K  5.125567e+04  2.63e+02  0.03277  
Ca  K  2.522181e+05  5.31e+02  0.1241  
Sc  K  2.192200e-01  1.61e+02  1.169e-07  
Ti  K  2.990628e+03  1.07e+02  0.001109  
V  K  2.025173e+01  9.60e+01  5.905e-06  
Cr  K  7.442080e+03  1.38e+02  0.001605  
Mn  K  1.589823e+03  1.20e+02  0.0002949  
Fe  K  1.408287e+05  4.11e+02  0.02205  
Co  K  6.292013e+02  1.41e+02  8.836e-05  
Ni  K  8.882599e+02  1.25e+02  0.0001161  
Cu  K  3.394899e+02  1.06e+02  4.234e-05  
Zn  K  9.112972e+02  1.10e+02  0.0001119  
As  K  5.291003e+02  1.05e+02  7.118e-05  
Rb  K  8.348640e+01  6.47e+01  2.516e-05  
Sr  K  7.602662e+01  4.88e+01  3.231e-05  
Y  K  9.210458e-01  1.34e+01  6.879e-07  
Zr  K  4.042435e+04  1.96e+05  0.05624  
Rh  L  6.085182e+04  4.61e+02  0.1696  
Pd  L  2.132062e+01  4.21e+02  4.254e-05  

SOURCE: 20-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.956609e+03  6.57e+01  0.1102  
P  K  3.207824e+01  5.77e+01  0.0004598  
S  K  3.298834e+03  9.15e+01  0.01439  
Cl  K  2.916155e+03  2.02e+02  0.006377  
Ar  K  1.312219e+01  2.06e+02  1.664e-05  
K  K  5.140480e+04  2.63e+02  0.03298  
Ca  K  2.524192e+05  5.31e+02  0.124  
Sc  K  1.902783e+00  1.61e+02  1.007e-06  
Ti  K  2.862793e+03  1.06e+02  0.001053  
V  K  5.029754e+00  9.48e+01  1.455e-06  
Cr  K  7.400646e+03  1.38e+02  0.001583  
Mn  K  1.370071e+03  1.19e+02  0.0002519  
Fe  K  1.416714e+05  4.11e+02  0.02198  
Co  K  7.709119e+02  1.41e+02  0.0001073  
Ni  K  1.250895e+03  1.25e+02  0.0001618  
Cu  K  6.552329e+02  1.06e+02  8.088e-05  
Zn  K  1.074938e+03  1.09e+02  0.0001306  
As  K  6.815853e+02  1.06e+02  9.073e-05  
Rb  K  1.238018e+02  6.49e+01  3.691e-05  
Sr  K  1.408825e+02  5.02e+01  5.923e-05  
Y  K  1.117496e+00  1.63e+01  8.256e-07  
Zr  K  4.235707e+03  1.94e+05  0.005829  
Rh  L  6.027948e+04  4.62e+02  0.1688  
Pd  L  2.676325e+01  4.23e+02  5.365e-05  

SOURCE: 30-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.438986e+03  6.30e+01  0.08104  
P  K  3.048293e+01  6.18e+01  0.0003972  
S  K  3.030188e+03  9.22e+01  0.01203  
Cl  K  2.412922e+03  2.01e+02  0.004838  
Ar  K  8.917831e+00  2.09e+02  1.05e-05  
K  K  4.767493e+04  2.58e+02  0.0287  
Ca  K  3.526086e+05  6.21e+02  0.1718  
Sc  K  3.688886e+02  1.81e+02  0.0002239  
Ti  K  2.392560e+03  1.03e+02  0.001012  
V  K  3.354300e+00  9.30e+01  1.118e-06  
Cr  K  7.378508e+03  1.36e+02  0.001819  
Mn  K  1.187310e+03  1.16e+02  0.0002509  
Fe  K  1.199040e+05  3.82e+02  0.02135  
Co  K  8.201164e+02  1.37e+02  0.0001309  
Ni  K  9.560473e+02  1.34e+02  0.0001403  
Cu  K  3.854923e+02  1.03e+02  5.401e-05  
Zn  K  9.763436e+02  1.07e+02  0.0001347  
As  K  6.315752e+02  1.03e+02  9.561e-05  
Rb  K  9.335279e+01  6.36e+01  3.169e-05  
Sr  K  3.931752e+01  4.80e+01  1.882e-05  
Y  K  6.867995e-01  1.60e+01  5.779e-07  
Zr  K  2.134527e+03  1.90e+05  0.003346  
Rh  L  6.017121e+04  4.62e+02  0.1557  
Pd  L  1.939260e+01  4.29e+02  3.603e-05  

SOURCE: 30-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.752784e+03  6.45e+01  0.09854  
P  K  3.591404e+01  6.22e+01  0.0004849  
S  K  2.998623e+03  9.22e+01  0.01233  
Cl  K  2.350006e+03  2.00e+02  0.004866  
Ar  K  5.162592e+01  2.08e+02  6.244e-05  
K  K  4.807546e+04  2.59e+02  0.02956  
Ca  K  3.509649e+05  6.20e+02  0.1701  
Sc  K  2.387343e+02  1.82e+02  0.0001392  
Ti  K  2.525411e+03  1.05e+02  0.001025  
V  K  4.113509e+00  9.35e+01  1.315e-06  
Cr  K  7.193642e+03  1.36e+02  0.001701  
Mn  K  1.194517e+03  1.16e+02  0.0002416  
