SOURCE: ISic000401-t-a.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Zr  K  6.502822e+02  8.69e+01  8.305e-05  
Rh  K  4.437752e+03  3.22e+03  0.0009594  
Rh  L  6.510785e+01  6.88e+01  0.0008927  
Pd  K  7.323631e+03  4.80e+02  0.001731  
Pd  L  6.004246e+02  8.32e+01  0.00646  
Sn  K  9.664345e+02  9.07e+01  0.0004077  
Ba  L  1.426294e+02  4.23e+01  0.0001639  
Au  L  2.058549e+02  4.77e+01  6.477e-05  
Hg  L  2.421023e+02  5.14e+01  7.05e-05  
Pb  L  1.677064e+03  1.18e+02  0.0004256  

SOURCE: ISic000404-t-b.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  1.220801e+03  4.98e+01  0.06157  
Cl  K  3.132524e+02  4.76e+01  0.007169  
Ar  K  7.314819e+02  6.14e+01  0.008452  
K  K  1.071093e+03  5.03e+01  0.00583  
Ca  K  1.985437e+05  4.50e+02  0.5603  
Sc  K  2.683093e+01  9.79e+01  4.535e-05  
Ti  K  8.076521e+01  2.94e+01  8.101e-05  
V  K  3.576449e-01  1.86e+01  2.225e-07  
Cr  K  8.789998e+01  1.69e+01  3.378e-05  
Mn  K  1.519646e+02  1.99e+01  3.871e-05  
Fe  K  2.427007e+03  5.31e+01  0.0004089  
Co  K  1.840691e+01  1.89e+01  2.209e-06  
Ni  K  1.212422e-02  2.61e+01  1.525e-09  
Cu  K  2.955144e+02  2.46e+01  5.403e-05  
Zn  K  2.327166e+02  2.48e+01  3.647e-05  
As  K  8.562003e-01  8.13e+01  2.506e-07  
Rb  K  3.543770e+02  6.99e+01  5.535e-05  
Sr  K  7.032883e+03  1.20e+02  0.001012  
Y  K  5.464471e+02  8.54e+01  7.38e-05  
Zr  K  6.345640e+02  9.72e+01  8.221e-05  
Rh  K  1.208299e+04  3.62e+03  0.002651  
Rh  L  4.311552e+00  7.55e+01  6.013e-05  
Pd  K  8.401557e+03  5.21e+02  0.002016  
Pd  L  7.668887e+02  8.95e+01  0.008394  
Sn  K  8.575052e+02  9.82e+01  0.0003672  
Ba  L  9.883008e+01  4.41e+01  0.0001157  
Au  L  2.112033e+02  5.32e+01  6.705e-05  
Hg  L  2.945675e+02  5.76e+01  8.695e-05  
Pb  L  2.910382e+03  1.38e+02  0.000747  

SOURCE: ISic000404-t-c.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
S  K  6.097033e+02  3.95e+01  0.03015  
Cl  K  1.407947e+02  4.04e+01  0.003159  
Ar  K  7.702341e+02  5.60e+01  0.008723  
K  K  6.030487e+02  4.10e+01  0.003217  
Ca  K  1.316847e+05  3.67e+02  0.3642  
Sc  K  2.895101e+01  7.95e+01  4.796e-05  
Ti  K  7.300320e+01  2.46e+01  7.176e-05  
V  K  3.416908e+01  1.81e+01  2.083e-05  
Cr  K  7.022117e+01  1.53e+01  2.645e-05  
Mn  K  6.822171e+01  1.60e+01  1.703e-05  
Fe  K  1.532590e+03  4.31e+01  0.0002532  
Co  K  4.503217e+01  1.76e+01  5.3e-06  
Ni  K  2.536642e+00  2.15e+01  3.361e-07  
Cu  K  2.110933e+02  2.11e+01  3.823e-05  
Zn  K  1.226648e+02  1.89e+01  1.899e-05  
As  K  1.080190e+03  9.95e+01  0.0003115  
Rb  K  2.613824e+02  5.94e+01  4.02e-05  
Sr  K  4.142747e+03  9.60e+01  0.0005868  
Y  K  3.319886e+02  7.32e+01  4.413e-05  
Zr  K  3.342368e+02  7.91e+01  4.262e-05  
Rh  K  4.532739e+03  3.01e+03  0.0009785  
Rh  L  9.110881e+01  6.57e+01  0.001248  
Pd  K  6.777811e+03  4.41e+02  0.0016  
Pd  L  4.893537e+02  7.78e+01  0.005258  
Sn  K  7.756697e+02  8.18e+01  0.0003268  
