SOURCE: ISic000896-M-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  4.720437e+03  8.61e+01  0.007304  
P  K  8.339589e+01  8.33e+01  7.536e-05  
S  K  2.549985e+04  1.81e+02  0.01535  
Cl  K  4.143729e+03  1.87e+02  0.00207  
Ar  K  3.158914e+03  1.88e+02  0.0013  
K  K  1.177057e+03  1.01e+02  0.0003071  
Ca  K  8.781840e+05  9.83e+02  0.2566  
Sc  K  3.735513e+03  2.43e+02  0.002368  
Ti  K  5.760801e+02  7.99e+01  0.0002747  
V  K  1.347781e+02  7.21e+01  5.351e-05  
Cr  K  2.661027e+02  7.77e+01  8.109e-05  
Mn  K  7.780936e+02  8.83e+01  0.0002048  
Fe  K  1.330309e+04  1.55e+02  0.002981  
Co  K  9.679758e+02  1.02e+02  0.0001958  
Ni  K  1.288293e+03  1.46e+02  0.000228  
Cu  K  4.470425e+02  8.92e+01  7.621e-05  
Zn  K  1.005887e+03  9.33e+01  0.0001701  
As  K  7.533800e+02  8.79e+01  0.0001417  
Rb  K  3.234676e+02  5.51e+01  0.0001374  
Sr  K  4.047038e+01  4.74e+01  2.428e-05  
Y  K  8.896766e+01  1.66e+01  9.385e-05  
Zr  K  1.173933e+06  2.06e+05  2.308  
Rh  L  3.517682e+04  3.71e+02  0.02615  
Pd  L  1.765818e+03  3.49e+02  0.001078  

SOURCE: ISic000896-M-6.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  3.284732e+04  1.99e+02  0.05215  
P  K  6.660718e+02  9.38e+01  0.0007108  
S  K  2.733916e+04  1.89e+02  0.01946  
Cl  K  1.102025e+04  2.26e+02  0.006474  
Ar  K  2.173387e+03  1.91e+02  0.00104  
K  K  3.042558e+02  1.02e+02  9.116e-05  
Ca  K  1.156548e+06  1.10e+03  0.3482  
Sc  K  3.126507e+03  2.71e+02  0.001827  
Ti  K  2.356028e+02  8.13e+01  0.0001034  
V  K  9.710136e+03  1.31e+02  0.003544  
Cr  K  3.986122e+02  8.96e+01  0.0001115  
Mn  K  4.075629e+02  8.63e+01  9.815e-05  
Fe  K  8.646851e+03  1.36e+02  0.001769  
Co  K  1.071553e+03  1.01e+02  0.0001976  
Ni  K  1.424848e+03  1.54e+02  0.0002284  
Cu  K  7.814622e+02  9.45e+01  0.0001206  
Zn  K  1.061566e+03  9.56e+01  0.0001624  
As  K  1.036999e+03  9.31e+01  0.0001761  
Rb  K  1.872396e+02  5.81e+01  7.172e-05  
Sr  K  2.885837e+01  4.95e+01  1.56e-05  
Y  K  4.402395e+01  1.57e+01  4.185e-05  
Zr  K  3.254986e+05  2.07e+05  0.5766  
Rh  L  3.781943e+04  4.09e+02  0.03281  
Pd  L  1.483366e+02  3.67e+02  0.0001053  

SOURCE: ISic001514-M-1.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.764163e+03  6.96e+01  0.002815  
P  K  2.781969e-02  1.09e+02  2.504e-08  
S  K  5.384913e+03  1.18e+02  0.003226  
Cl  K  4.223537e+03  2.19e+02  0.002103  
Ar  K  1.062125e+03  2.16e+02  0.0004368  
K  K  3.147201e+02  1.15e+02  8.223e-05  
Ca  K  1.636829e+06  1.32e+03  0.496  
Sc  K  3.575887e+03  3.12e+02  0.002437  
Ti  K  4.702223e+02  8.25e+01  0.0002411  
V  K  9.213315e+01  6.82e+01  3.935e-05  
Cr  K  5.128004e+02  7.65e+01  0.000168  
Mn  K  2.722155e+02  8.24e+01  7.681e-05  
Fe  K  2.618445e+03  1.06e+02  0.000628  
Co  K  9.674756e+02  9.76e+01  0.0002092  
Ni  K  3.810009e+03  1.94e+02  0.0007145  
Cu  K  7.253981e+02  9.62e+01  0.000131  
Zn  K  5.380672e+02  9.17e+01  9.641e-05  
As  K  7.553481e+02  8.99e+01  0.0001505  
Rb  K  1.915159e+02  5.92e+01  8.617e-05  
Sr  K  9.557665e+01  4.90e+01  6.071e-05  
Y  K  2.492537e+00  1.92e+01  2.784e-06  
Zr  K  2.886006e+05  2.04e+05  0.6008  
Rh  L  3.751387e+04  4.25e+02  0.02784  
Pd  L  6.716624e+03  4.13e+02  0.004097  

SOURCE: ISic001514-M-2.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  3.045744e+03  8.07e+01  0.004839  
P  K  9.500924e+02  1.07e+02  0.000859  
S  K  3.613562e+04  2.16e+02  0.02182  
Cl  K  7.542721e+03  2.31e+02  0.003784  
Ar  K  3.845400e+03  2.17e+02  0.001592  
K  K  3.877634e+02  1.13e+02  0.0001019  
Ca  K  1.490720e+06  1.24e+03  0.4498  
Sc  K  4.515988e+03  3.12e+02  0.003036  
Ti  K  9.379417e+00  8.13e+01  4.743e-06  
V  K  1.171994e+03  7.86e+01  0.0004935  
Cr  K  2.479089e+02  7.70e+01  8.007e-05  
Mn  K  1.304024e+03  9.23e+01  0.0003628  
Fe  K  4.994532e+03  1.19e+02  0.001181  
Co  K  1.626462e+03  1.03e+02  0.000347  
Ni  K  9.688192e+02  1.75e+02  0.0001794  
Cu  K  9.373853e+02  9.40e+01  0.0001672  
Zn  K  4.395518e+02  8.70e+01  7.777e-05  
As  K  2.023906e+02  8.45e+01  3.981e-05  
Rb  K  1.562670e+02  5.62e+01  6.943e-05  
Sr  K  5.019813e+01  4.69e+01  3.149e-05  
Y  K  4.284256e+01  1.56e+01  4.725e-05  
Zr  K  3.895639e+05  1.94e+05  0.8007  
Rh  L  3.467902e+04  4.26e+02  0.02592  
Pd  L  1.182708e+03  4.03e+02  0.0007264  

SOURCE: ISic001514-M-3.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.383178e+03  7.39e+01  0.003791  
P  K  5.526863e-01  1.11e+02  4.977e-07  
S  K  9.908221e+03  1.35e+02  0.005941  
Cl  K  4.721943e+03  2.10e+02  0.002353  
Ar  K  4.302651e+03  2.12e+02  0.00177  
K  K  3.786614e+02  1.12e+02  9.894e-05  
Ca  K  1.553042e+06  1.27e+03  0.4687  
Sc  K  3.557453e+03  3.19e+02  0.002405  
Ti  K  1.597655e+02  8.19e+01  8.126e-05  
V  K  2.656943e+02  7.12e+01  0.0001125  
Cr  K  3.624963e+02  7.81e+01  0.0001178  
Mn  K  7.080436e+02  8.84e+01  0.0001982  
Fe  K  5.643432e+03  1.24e+02  0.001343  
Co  K  7.196875e+02  9.98e+01  0.0001545  
Ni  K  1.837469e+03  1.84e+02  0.0003425  
Cu  K  7.000688e+02  9.49e+01  0.0001257  
Zn  K  1.826060e+03  1.01e+02  0.0003252  
As  K  1.032116e+03  9.55e+01  0.0002044  
Rb  K  1.619615e+02  6.01e+01  7.244e-05  
Sr  K  1.355140e+02  4.97e+01  8.558e-05  
Y  K  8.921426e-01  1.86e+01  9.907e-07  
Zr  K  2.306047e+03  1.87e+05  0.004772  
Rh  L  3.330752e+04  4.02e+02  0.02473  
Pd  L  1.785343e+03  3.84e+02  0.001089  

SOURCE: ISic001514-M-4.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  1.883339e+03  7.16e+01  0.003002  
P  K  1.251893e+00  1.08e+02  1.127e-06  
S  K  4.536758e+03  1.14e+02  0.00273  
Cl  K  5.523899e+03  2.26e+02  0.002763  
Ar  K  6.903539e+02  2.45e+02  0.0002851  
K  K  2.762178e+00  1.12e+02  7.246e-07  
Ca  K  1.606663e+06  1.32e+03  0.4867  
Sc  K  6.331739e+03  3.34e+02  0.004294  
Ti  K  7.119462e+00  8.17e+01  3.632e-06  
V  K  5.557667e+02  7.16e+01  0.0002361  
Cr  K  2.672618e+02  7.49e+01  8.709e-05  
Mn  K  5.465493e+02  8.35e+01  0.0001534  
Fe  K  4.307067e+03  1.12e+02  0.001028  
Co  K  5.861438e+02  9.19e+01  0.0001261  
Ni  K  3.930616e+03  1.80e+02  0.000734  
Cu  K  2.984826e+02  9.11e+01  5.368e-05  
Zn  K  2.591065e+02  8.95e+01  4.623e-05  
As  K  3.951653e+02  8.67e+01  7.838e-05  
Rb  K  1.416385e+02  5.78e+01  6.345e-05  
Sr  K  4.959629e+01  4.09e+01  3.137e-05  
Y  K  1.893890e+00  1.65e+01  2.106e-06  
Zr  K  1.468468e+03  1.25e+05  0.003044  
Rh  L  3.121610e+04  4.30e+02  0.02326  
Pd  L  1.602540e+04  4.55e+02  0.009817  

SOURCE: ISic001514-M-5.csv
KEY: 1.1.00001.1
Element  Group  Fit_Area  Sigma_Area  Mass_fraction  
Na  K  0.000000e+00  0.00e+00  0  
Mg  K  0.000000e+00  0.00e+00  0  
Al  K  0.000000e+00  0.00e+00  0  
Si  K  2.472862e+03  7.57e+01  0.003943  
P  K  3.384424e-01  1.12e+02  3.058e-07  
S  K  1.270712e+04  1.47e+02  0.007665  
Cl  K  5.554699e+03  2.20e+02  0.002784  
Ar  K  2.842053e+03  2.10e+02  0.001176  
K  K  1.148413e+02  1.12e+02  3.017e-05  
Ca  K  1.591761e+06  1.28e+03  0.482  
Sc  K  4.853704e+03  3.24e+02  0.003288  
Ti  K  1.757344e+02  8.41e+01  8.955e-05  
V  K  2.338749e+03  8.88e+01  0.0009925  
Cr  K  9.708647e-01  7.59e+01  3.16e-07  
