File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;QCalcite;0.2704;0.0058
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Qquartz;0.0326;0.0029
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Qdolomite;0.496;0.0076
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Qmusc2m1;0.0078;0.0032
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;QAlbite;0.0331;0.0055
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Qpolyhalite;0.0525;0.0044
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Qplag50;0.0431;0.0073
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;QHematite;0.0304;0.0024
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Qrozenite;0.0342;0.004
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Rwp;15.3600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Rexp;11.7000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;Chi2;1.7235;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001399.lst;001399;;GOF;1.3128;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001420.lst;001420;;QCalcite;0.9882;0.0024
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001420.lst;001420;;Qquartz;0.0118;0.0024
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001420.lst;001420;;Rwp;5.4200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001420.lst;001420;;Rexp;5.9200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001420.lst;001420;;Chi2;0.8382;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001420.lst;001420;;GOF;0.9155;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;QCalcite;0.9649;0.0024
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;Qquartz;0.0162;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;QAragonite;0.0188;0.0021
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;Rwp;5.5400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;Rexp;6.0000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;Chi2;0.8525;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001430.lst;001430;;GOF;0.9233;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001439.lst;001439;;QCalcite;0.99859;0.001
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001439.lst;001439;;Qquartz;0.00141;0.001
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001439.lst;001439;;Rwp;5.6200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001439.lst;001439;;Rexp;6.1100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001439.lst;001439;;Chi2;0.8460;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001439.lst;001439;;GOF;0.9198;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001448.lst;001448;;QCalcite;0.6516;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001448.lst;001448;;Qquartz;0.3484;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001448.lst;001448;;Rwp;6.0300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001448.lst;001448;;Rexp;5.9200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001448.lst;001448;;Chi2;1.0375;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001448.lst;001448;;GOF;1.0186;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;QCalcite;0.8;0.0035
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;Qcalcitmg;0.0363;0.0036
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;Qgypsum;0.00374;0.00042
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;QSiO2p3221;0.16;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;Rwp;9.9300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;Rexp;7.2300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;Chi2;1.8863;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001449.lst;001449;;GOF;1.3734;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;QCalcite;0.8613;0.0036
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;Qquartz;0.0941;0.0016
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;Qhydrotalcite;0.0166;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;Qdolomite;0.028;0.0029
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;Rwp;5.1700;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;Rexp;5.6600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;Chi2;0.8343;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001455.lst;001455;;GOF;0.9134;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;QCalcite;0.7546;0.0044
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;Qquartz;0.2316;0.0026
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;Qgehlenite;0.0138;0.0047
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;Rwp;5.1200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;Rexp;5.4600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;Chi2;0.8793;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001456.lst;001456;;GOF;0.9377;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001457.lst;001457;;QCalcite;0.8209;0.0049
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001457.lst;001457;;QSiO2p3221;0.1791;0.0049
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001457.lst;001457;;Rwp;13.9100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001457.lst;001457;;Rexp;6.9300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001457.lst;001457;;Chi2;4.0289;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001457.lst;001457;;GOF;2.0072;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;QCalcite;0.8709;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;Qquartz;0.1245;0.001
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;QZircon;0.00254;0.00033
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;Qsanid08;0.00214;0.00091
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;Rwp;10.0400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;Rexp;6.9000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;Chi2;2.1172;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001461.lst;001461;;GOF;1.4551;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001463.lst;001463;;QCalcite;0.9911;0.0017
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001463.lst;001463;;Qquartz;0.0089;0.0017
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001463.lst;001463;;Rwp;5.3100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001463.lst;001463;;Rexp;5.9200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001463.lst;001463;;Chi2;0.8045;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001463.lst;001463;;GOF;0.8970;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;QCalcite;0.6403;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;Qquartz;0.3465;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;Qdolomite;0.01321;0.00072
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;Rwp;9.4100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;Rexp;6.4800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;Chi2;2.1088;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001464.lst;001464;;GOF;1.4522;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;QCalcite;0.88891;0.00095
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;Qquartz;0.10234;0.00073
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;Qhydrotalcite;0.00673;0.00058
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;QGoethite;0.00202;0.00042
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;Rwp;9.5700;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;Rexp;7.4200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;Chi2;1.6635;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001465.lst;001465;;GOF;1.2898;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001467.lst;001467;;QCalcite;0.801;0.0016
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001467.lst;001467;;Qquartz;0.199;0.0016
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001467.lst;001467;;Rwp;5.9100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001467.lst;001467;;Rexp;5.9200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001467.lst;001467;;Chi2;0.9966;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001467.lst;001467;;GOF;0.9983;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001469.lst;001469;;QCalcite;0.9972;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001469.lst;001469;;Qquartz;0.0028;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001469.lst;001469;;Rwp;5.7700;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001469.lst;001469;;Rexp;5.8800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001469.lst;001469;;Chi2;0.9629;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001469.lst;001469;;GOF;0.9813;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001470.lst;001470;;QCalcite;0.8099;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001470.lst;001470;;Qquartz;0.1901;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001470.lst;001470;;Rwp;5.7300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001470.lst;001470;;Rexp;5.8600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001470.lst;001470;;Chi2;0.9561;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001470.lst;001470;;GOF;0.9778;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001471.lst;001471;;QCalcite;0.95794;0.00051
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001471.lst;001471;;Qquartz;0.04206;0.00051
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001471.lst;001471;;Rwp;9.0000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001471.lst;001471;;Rexp;7.6300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001471.lst;001471;;Chi2;1.3913;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001471.lst;001471;;GOF;1.1796;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001478.lst;001478;;QCalcite;0.997;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001478.lst;001478;;Qquartz;0.003;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001478.lst;001478;;Rwp;5.2500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001478.lst;001478;;Rexp;5.8500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001478.lst;001478;;Chi2;0.8054;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001478.lst;001478;;GOF;0.8974;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;QCalcite;0.5735;0.0029
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;QAragonite;0.1597;0.0018
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;QGoethite;0.03933;0.00087
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;QRutile;0.00356;0.00047
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;Qcalcitmg;0.0008;0.0018
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;QSiO2p3221;0.1753;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;Qforsterite;0.00582;0.00083
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;QMgHPO43H2O;0.0348;0.0018
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;Qplag16an;0.0072;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;Rwp;8.3800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;Rexp;6.3500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;Chi2;1.7416;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001482.lst;001482;;GOF;1.3197;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001562.lst;001562;;QCalcite;0.8929;0.0016
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001562.lst;001562;;Qquartz;0.1071;0.0016
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001562.lst;001562;;Rwp;4.9600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001562.lst;001562;;Rexp;5.6900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001562.lst;001562;;Chi2;0.7599;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001562.lst;001562;;GOF;0.8717;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001568.lst;001568;;QCalcite;0.8068;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001568.lst;001568;;Qquartz;0.1932;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001568.lst;001568;;Rwp;4.9700;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001568.lst;001568;;Rexp;5.5500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001568.lst;001568;;Chi2;0.8019;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001568.lst;001568;;GOF;0.8955;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001573.lst;001573;;QCalcite;0.99857;0.00083
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001573.lst;001573;;Qquartz;0.00143;0.00083
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001573.lst;001573;;Rwp;5.4600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001573.lst;001573;;Rexp;5.8900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001573.lst;001573;;Chi2;0.8593;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001573.lst;001573;;GOF;0.9270;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001581.lst;001581;;QCalcite;1;0
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001581.lst;001581;;Rwp;6.0800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001581.lst;001581;;Rexp;5.8800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001581.lst;001581;;Chi2;1.0692;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001581.lst;001581;;GOF;1.0340;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;QCalcite;0.9844;0.00047
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;Qquartz;0.00447;0.00023
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;Qgypsum;0.01114;0.00041
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;Rwp;7.7000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;Rexp;8.2100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;Chi2;0.8796;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001660.lst;001660;;GOF;0.9379;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;QCalcite;0.652;0.01
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;Qquartz;0.01259;0.00033
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;QMgCalcite;0.336;0.01
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;Rwp;9.8100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;Rexp;7.6900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;Chi2;1.6274;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001661.lst;001661;;GOF;1.2757;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;QCalcite;0.7792;0.0096
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;Qquartz;0.00666;0.00026
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;Qhalite;0.01828;0.00037
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;QMgCalcite;0.1913;0.0097
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;Qgypsum;0.00449;0.00034
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;Rwp;8.7200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;Rexp;7.7500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;Chi2;1.2660;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/001670.lst;001670;;GOF;1.1252;
