File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;QCalcite;0.00441;0.00085,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Qquartz;0.4086;0.0033,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Qmicroint2;0.094;0.0025,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Qmusc2m1;0.136;0.0044,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Qchlorite2b;0.0554;0.0023,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;QSrApatite;0.00809;0.00049,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;QAlbite;0.1595;0.0039,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Qzro2mkl;0.01421;0.00077,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Qorthoclase;0.1199;0.0024,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Rwp;10.3200;,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Rexp;5.2600;,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;Chi2;3.8494;,
E:/nextcloud/ISicily/petrography/XRD/001207vg.lst;001207vg;;GOF;1.9620;,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;QCalcite;0.0587;0.0028,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Qquartz;0.0303;0.0029,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Qmusc2m1;0.256;0.013,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Qplag16an;0.499;0.019,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Qtridyorth;0.0885;0.0056,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Qmgchromi;0.0352;0.0039,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Qbrookite;0.0322;0.0044,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Rwp;5.1400;,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Rexp;5.7400;,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;Chi2;0.8019;,
E:/nextcloud/ISicily/petrography/XRD/001399green.lst;001399green;;GOF;0.8955;,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;QCalcite;0.3536;0.0077,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Qquartz;0.1119;0.0037,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Qannite;0.0966;0.0052,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Qarcanite;0.0746;0.0049,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Qanorthite;0.137;0.02,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Qmgchromi;0.0141;0.0013,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Qplag16an;0.212;0.012,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Rwp;8.9900;,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Rexp;5.9600;,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;Chi2;2.2752;,
E:/nextcloud/ISicily/petrography/XRD/001399grey.lst;001399grey;;GOF;1.5084;,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;QCalcite;0.9655;0.0023,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;Qquartz;0.0163;0.0012,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;Qaragonite;0.0183;0.0021,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;Rwp;5.5400;,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;Rexp;6.0000;,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;Chi2;0.8525;,
E:/nextcloud/ISicily/petrography/XRD/001430p.lst;001430p;;GOF;0.9233;,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;QCalcite;0.3823;0.0038,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;Qquartz;0.4284;0.0039,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;Qdolomite;0.0128;0.0024,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;QEnstatiteMg06Fe04;0.025;0.003,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;Qanorthite;0.1515;0.0071,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;Rwp;6.6000;,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;Rexp;5.8300;,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;Chi2;1.2816;,
E:/nextcloud/ISicily/petrography/XRD/001441.lst;001441;;GOF;1.1321;,
E:/nextcloud/ISicily/petrography/XRD/001448.lst;001448;;QCalcite;0.6516;0.0019,
E:/nextcloud/ISicily/petrography/XRD/001448.lst;001448;;Qquartz;0.3484;0.0019,
E:/nextcloud/ISicily/petrography/XRD/001448.lst;001448;;Rwp;6.0300;,
E:/nextcloud/ISicily/petrography/XRD/001448.lst;001448;;Rexp;5.9200;,
E:/nextcloud/ISicily/petrography/XRD/001448.lst;001448;;Chi2;1.0375;,
E:/nextcloud/ISicily/petrography/XRD/001448.lst;001448;;GOF;1.0186;,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;QCalcite;0.8015;0.0037,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;Qquartz;0.1436;0.0015,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;QMgCalcite;0.0097;0.0015,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;QGraphite3r;0.0452;0.0037,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;Rwp;11.0700;,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;Rexp;7.2300;,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;Chi2;2.3443;,
E:/nextcloud/ISicily/petrography/XRD/001449vg.lst;001449vg;;GOF;1.5311;,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;QCalcite;0.8618;0.0036,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;Qquartz;0.0942;0.0016,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;Qdolomite;0.0277;0.0029,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;Qhydrotalcite;0.0163;0.002,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;Rwp;5.1700;,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;Rexp;5.6600;,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;Chi2;0.8343;,
E:/nextcloud/ISicily/petrography/XRD/001455.lst;001455;;GOF;0.9134;,
E:/nextcloud/ISicily/petrography/XRD/001456p.lst;001456p;;QCalcite;0.765;0.0024,
E:/nextcloud/ISicily/petrography/XRD/001456p.lst;001456p;;Qquartz;0.235;0.0024,
E:/nextcloud/ISicily/petrography/XRD/001456p.lst;001456p;;Rwp;5.1300;,
E:/nextcloud/ISicily/petrography/XRD/001456p.lst;001456p;;Rexp;5.4600;,
E:/nextcloud/ISicily/petrography/XRD/001456p.lst;001456p;;Chi2;0.8828;,
E:/nextcloud/ISicily/petrography/XRD/001456p.lst;001456p;;GOF;0.9396;,
E:/nextcloud/ISicily/petrography/XRD/001457.lst;001457;;QCalcite;0.8724;0.0015,
E:/nextcloud/ISicily/petrography/XRD/001457.lst;001457;;Qquartz;0.1276;0.0015,
E:/nextcloud/ISicily/petrography/XRD/001457.lst;001457;;Rwp;5.8700;,
E:/nextcloud/ISicily/petrography/XRD/001457.lst;001457;;Rexp;5.6900;,
E:/nextcloud/ISicily/petrography/XRD/001457.lst;001457;;Chi2;1.0643;,
E:/nextcloud/ISicily/petrography/XRD/001457.lst;001457;;GOF;1.0316;,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;QCalcite;0.8321;0.0026,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Qquartz;0.1084;0.0014,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Qgypsum;0.0106;0.0011,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Qhydrotalcite;0.0061;0.0011,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Qstruvite;0.0429;0.0025,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Rwp;14.3300;,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Rexp;6.9300;,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;Chi2;4.2759;,
E:/nextcloud/ISicily/petrography/XRD/001457vg.lst;001457vg;;GOF;2.0678;,
E:/nextcloud/ISicily/petrography/XRD/001463.lst;001463;;QCalcite;0.9911;0.0017,
E:/nextcloud/ISicily/petrography/XRD/001463.lst;001463;;Qquartz;0.0089;0.0017,
E:/nextcloud/ISicily/petrography/XRD/001463.lst;001463;;Rwp;5.3100;,
E:/nextcloud/ISicily/petrography/XRD/001463.lst;001463;;Rexp;5.9200;,
E:/nextcloud/ISicily/petrography/XRD/001463.lst;001463;;Chi2;0.8045;,
E:/nextcloud/ISicily/petrography/XRD/001463.lst;001463;;GOF;0.8970;,
E:/nextcloud/ISicily/petrography/XRD/001463red.lst;001463red;;QCalcite;0.9542;0.005,
E:/nextcloud/ISicily/petrography/XRD/001463red.lst;001463red;;Qquartz;0.0231;0.0013,
E:/nextcloud/ISicily/petrography/XRD/001463red.lst;001463red;;Qstruvite;0.0227;0.005,
