File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/XRD/001562.lst;001562;;QCalcite;0.8929;0.0016
E:/nextcloud/ISicily/petrography/XRD/001562.lst;001562;;Qquartz;0.1071;0.0016
E:/nextcloud/ISicily/petrography/XRD/001562.lst;001562;;Rwp;4.9600;
E:/nextcloud/ISicily/petrography/XRD/001562.lst;001562;;Rexp;5.6900;
E:/nextcloud/ISicily/petrography/XRD/001562.lst;001562;;Chi2;0.7599;
E:/nextcloud/ISicily/petrography/XRD/001562.lst;001562;;GOF;0.8717;
E:/nextcloud/ISicily/petrography/XRD/001568.lst;001568;;QCalcite;0.8068;0.002
E:/nextcloud/ISicily/petrography/XRD/001568.lst;001568;;Qquartz;0.1932;0.002
E:/nextcloud/ISicily/petrography/XRD/001568.lst;001568;;Rwp;4.9700;
E:/nextcloud/ISicily/petrography/XRD/001568.lst;001568;;Rexp;5.5500;
E:/nextcloud/ISicily/petrography/XRD/001568.lst;001568;;Chi2;0.8019;
E:/nextcloud/ISicily/petrography/XRD/001568.lst;001568;;GOF;0.8955;
E:/nextcloud/ISicily/petrography/XRD/001573.lst;001573;;QCalcite;0.99857;0.00083
E:/nextcloud/ISicily/petrography/XRD/001573.lst;001573;;Qquartz;0.00143;0.00083
E:/nextcloud/ISicily/petrography/XRD/001573.lst;001573;;Rwp;5.4600;
E:/nextcloud/ISicily/petrography/XRD/001573.lst;001573;;Rexp;5.8900;
E:/nextcloud/ISicily/petrography/XRD/001573.lst;001573;;Chi2;0.8593;
E:/nextcloud/ISicily/petrography/XRD/001573.lst;001573;;GOF;0.9270;
E:/nextcloud/ISicily/petrography/XRD/001573p.lst;001573p;;QCalcite;0.99797;0.00069
E:/nextcloud/ISicily/petrography/XRD/001573p.lst;001573p;;Qquartz;0.00203;0.00069
E:/nextcloud/ISicily/petrography/XRD/001573p.lst;001573p;;Rwp;5.5400;
E:/nextcloud/ISicily/petrography/XRD/001573p.lst;001573p;;Rexp;6.1400;
E:/nextcloud/ISicily/petrography/XRD/001573p.lst;001573p;;Chi2;0.8141;
E:/nextcloud/ISicily/petrography/XRD/001573p.lst;001573p;;GOF;0.9023;
E:/nextcloud/ISicily/petrography/XRD/001581p.lst;001581p;;QCalcite;1;0
E:/nextcloud/ISicily/petrography/XRD/001581p.lst;001581p;;Rwp;6.0800;
E:/nextcloud/ISicily/petrography/XRD/001581p.lst;001581p;;Rexp;5.8800;
E:/nextcloud/ISicily/petrography/XRD/001581p.lst;001581p;;Chi2;1.0692;
E:/nextcloud/ISicily/petrography/XRD/001581p.lst;001581p;;GOF;1.0340;
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;QCalcite;0.97533;0.0004
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;Qquartz;0.00706;0.00028
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;QHalite;0.01761;0.00029
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;Rwp;9.6300;
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;Rexp;7.7700;
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;Chi2;1.5361;
E:/nextcloud/ISicily/petrography/XRD/001670pvg.lst;001670pvg;;GOF;1.2394;
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;QCalcite;0.925;0.002
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;Qquartz;0.00934;0.00037
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;QAragonite;0.0261;0.0009
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;Qspodumen;0.0388;0.0017
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;Qwitherite;0.00082;0.00019
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;Rwp;10.5100;
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;Rexp;7.5700;
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;Chi2;1.9276;
E:/nextcloud/ISicily/petrography/XRD/002995pvg.lst;002995pvg;002995pvg;GOF;1.3884;
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qmicroint1;0.0161;0.0016
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qdiopsina;0.1521;0.0026
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;QPseudowollastonite;0.00676;0.00077
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qplag50;0.477;0.0043
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qgroutite;0.00693;0.00052
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qsanina85;0.2561;0.0038
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qperowski;0.01151;0.00048
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qhausmannite;0.00707;0.00059
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Qpicromerite;0.0575;0.0033
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;QSiderite;0.00895;0.00053
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Rwp;8.7300;
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Rexp;5.7600;
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;Chi2;2.2971;
E:/nextcloud/ISicily/petrography/XRD/003005pvg.lst;003005pvg;003005pvg;GOF;1.5156;
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;QCalcite;0.9544;0.0032
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;Qquartz;0.00176;0.00067
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;QSrApatite;0.0181;0.0026
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;Qbrookite;0.0049;0.0014
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;QFluorite;0.0207;0.0012
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;Rwp;6.7700;
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;Rexp;5.4500;
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;Chi2;1.5431;
E:/nextcloud/ISicily/petrography/XRD/003077p.lst;003077p;;GOF;1.2422;
E:/nextcloud/ISicily/petrography/XRD/003083pvg.lst;003083pvg;;QCalcite;0.99854;0.00022
E:/nextcloud/ISicily/petrography/XRD/003083pvg.lst;003083pvg;;Qquartz;0.00146;0.00022
E:/nextcloud/ISicily/petrography/XRD/003083pvg.lst;003083pvg;;Rwp;8.0100;
E:/nextcloud/ISicily/petrography/XRD/003083pvg.lst;003083pvg;;Rexp;8.2500;
