File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000004.lst;000004;;QCalcite;0.9658;0.0055,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000004.lst;000004;;QEnstatiteMg06Fe04;0.0342;0.0055,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000004.lst;000004;;Rwp;6.9100;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000004.lst;000004;;Rexp;5.6400;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000004.lst;000004;;Chi2;1.5011;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000004.lst;000004;;GOF;1.2252;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009grey.lst;000009grey;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009grey.lst;000009grey;;Rwp;5.9600;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009grey.lst;000009grey;;Rexp;6.1700;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009grey.lst;000009grey;;Chi2;0.9331;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009grey.lst;000009grey;;GOF;0.9660;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000015.lst;000015;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000015.lst;000015;;Rwp;5.5200;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000015.lst;000015;;Rexp;6.0700;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000015.lst;000015;;Chi2;0.8270;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000015.lst;000015;;GOF;0.9094;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000017.lst;000017;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000017.lst;000017;;Rwp;5.8400;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000017.lst;000017;;Rexp;6.1300;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000017.lst;000017;;Chi2;0.9076;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000017.lst;000017;;GOF;0.9527;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000021.lst;000021;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000021.lst;000021;;Rwp;5.6300;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000021.lst;000021;;Rexp;6.1200;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000021.lst;000021;;Chi2;0.8463;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000021.lst;000021;;GOF;0.9199;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000023.lst;000023;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000023.lst;000023;;Rwp;5.6800;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000023.lst;000023;;Rexp;5.9700;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000023.lst;000023;;Chi2;0.9052;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000023.lst;000023;;GOF;0.9514;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000026.lst;000026;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000026.lst;000026;;Rwp;5.8900;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000026.lst;000026;;Rexp;6.1300;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000026.lst;000026;;Chi2;0.9232;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000026.lst;000026;;GOF;0.9608;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;QCalcite;0.9489;0.006,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;QEnstatiteMg06Fe04;0.0287;0.0059,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;Qdolomite;0.0224;0.0036,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;Rwp;5.1600;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;Rexp;5.5700;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;Chi2;0.8582;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000027.lst;000027;;GOF;0.9264;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000028.lst;000028;;QCalcite;0.9908;0.0026,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000028.lst;000028;;QEnstatiteMg09Fe01;0.0092;0.0026,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000028.lst;000028;;Rwp;6.1400;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000028.lst;000028;;Rexp;5.7200;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000028.lst;000028;;Chi2;1.1522;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000028.lst;000028;;GOF;1.0734;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;QCalcite;0.9852;0.0053,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;QEnstatiteMg06Fe04;0.0047;0.005,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;Qdolomite;0.0101;0.0018,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;Rwp;5.5300;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;Rexp;6.0100;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;Chi2;0.8466;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029grey.lst;000029grey;;GOF;0.9201;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029pink.lst;000029pink;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029pink.lst;000029pink;;Rwp;5.8500;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029pink.lst;000029pink;;Rexp;6.1600;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029pink.lst;000029pink;;Chi2;0.9019;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000029pink.lst;000029pink;;GOF;0.9497;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;QCalcite;0.9817;0.003,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;Qdolomite;0.0157;0.0025,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;QGraphite3r;0.0026;0.0015,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;Rwp;7.1600;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;Rexp;5.4800;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;Chi2;1.7071;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000034.lst;000034;;GOF;1.3066;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000036.lst;000036;;QCalcite;1;0,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000036.lst;000036;;Rwp;5.8800;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000036.lst;000036;;Rexp;5.5500;,
