File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;QCalcite;0.9355;0.0033
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;QKaolinite1A;0.0221;0.0025
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;Qdolomite;0.0255;0.0017
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;Qhydrotalcite;0.0086;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;QSiderite;0.0083;0.00084
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;Rwp;5.9300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;Rexp;6.1900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;Chi2;0.9178;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000009pink.lst;000009pink;;GOF;0.9580;
