File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;QCalcite;0.9786;0.002
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;Qquartz;0.00191;0.00022
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;QsphalerFe;0.00127;0.00027
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;Qcalcitmg;0.0182;0.0019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;Rwp;10.2000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;Rexp;7.7900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;Chi2;1.7145;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003572.lst;003572;;GOF;1.3094;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;QCalcite;0.9592;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;Qmusc2m1;0.0143;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;Qquartz;0.00206;0.00037
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;QGraphite3r;0.02448;0.00088
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;Rwp;13.7200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;Rexp;7.5400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;Chi2;3.3110;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003574white.lst;003574white;;GOF;1.8196;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;QCalcite;0.842;0.019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;Qmusc2m1;0.144;0.019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;QHematite;0.0003;0.00019
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;Qquartz;0.00771;0.00043
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;Qchlorite2b;0.00502;0.00089
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;QAnhydrite;0.00067;0.00023
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;Rwp;10.6400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;Rexp;7.5400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;Chi2;1.9913;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575purple.lst;003575purple;;GOF;1.4111;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;QCalcite;0.9736;0.0011
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;Qmusc2m1;0.01558;0.00099
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;Qquartz;0.01023;0.00043
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;Qorthoclase;0.00063;0.00044
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;Rwp;12.0800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;Rexp;7.6600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;Chi2;2.4870;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003575white.lst;003575white;;GOF;1.5770;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;QCalcite;0.99517;0.00057
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;Qquartz;0.00269;0.00032
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;Qmusc2m1;0.00215;0.0005
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;Rwp;11.8800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;Rexp;7.7400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;Chi2;2.3559;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003577.lst;003577;;GOF;1.5349;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;QCalcite;0.87;0.0072
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Qdolomite;0.0104;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Qmusc2m1;0.0077;0.0012
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Qankerit02;0.0564;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Qquartz;0.00702;0.0005
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Qcalcitmg;0.0485;0.0072
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Rwp;17.3300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Rexp;7.3800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;Chi2;5.5142;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003580.lst;003580;;GOF;2.3482;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;QCalcite;0.9652;0.0023
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;Qmusc2m1;0.0079;0.0011
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;Qquartz;0.01889;0.00062
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;Qmusc2m1;0.0079;0.0011
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;Rwp;16.6800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;Rexp;7.2500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;Chi2;5.2932;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003581.lst;003581;;GOF;2.3007;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;QCalcite;0.9528;0.0026
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;Qquartz;0.00266;0.0004
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;QK2SO4;0.0061;0.0018
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;Qankerit07;0.0385;0.0025
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;Rwp;16.7100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;Rexp;7.2000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;Chi2;5.3863;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003591.lst;003591;;GOF;2.3208;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003658.lst;003658;;QCalcite;0.96918;0.00099
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003658.lst;003658;;Qquartz;0.01161;0.00032
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003658.lst;003658;;QAragonite;0.0105;0.00065
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/003658.lst;003658;;Qchloritoid;0.00871;0.0007
