File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;QCalcite;0.91587;0.00095
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;Qquartz;0.07034;0.00052
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;Qkaolid;0.01379;0.00087
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;Rwp;8.3300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;Rexp;7.9800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;Chi2;1.0896;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000810.lst;000810;;GOF;1.0439;
