File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;QCalcite;0.9505;0.0072
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;Qquartz;0.006;0.0015
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;Qdolomite;0.0143;0.0021
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;QCa4P6O19;0.0292;0.0068
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;Rwp;5.0500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;Rexp;5.6700;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;Chi2;0.7933;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000101.lst;000101;;GOF;0.8907;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000103.lst;000103;;QCalcite;0.99451;0.00033
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000103.lst;000103;;Qquartz;0.00549;0.00033
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000103.lst;000103;;Rwp;8.4600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000103.lst;000103;;Rexp;7.4200;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000103.lst;000103;;Chi2;1.3000;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000103.lst;000103;;GOF;1.1402;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000104.lst;000104;;QCalcite;0.996;0.0011
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000104.lst;000104;;QSiderite;0.004;0.0011
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000104.lst;000104;;Rwp;5.5800;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000104.lst;000104;;Rexp;5.5100;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000104.lst;000104;;Chi2;1.0256;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000104.lst;000104;;GOF;1.0127;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000114.lst;000114;;QCalcite;1;0
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000114.lst;000114;;Qsi2n2o;0;0
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000114.lst;000114;;Rwp;5.5500;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000114.lst;000114;;Rexp;5.7400;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000114.lst;000114;;Chi2;0.9349;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000114.lst;000114;;GOF;0.9669;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;QCalcite;0.8866;0.0081
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;QClinoatacamite;0.0515;0.0031
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;Qgehlenite;0.0462;0.0068
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;Qchromimg;0.0157;0.0038
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;Rwp;11.2600;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;Rexp;11.6700;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;Chi2;0.9310;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000121.lst;000121;;GOF;0.9649;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;QCalcite;0.7897;0.0022
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;QEnstatiteMg06Fe04Ca;0.019;0.0014
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;Qgypsum;0.02186;0.00083
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;QKaolinite1A;0.0283;0.0013
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;Qhercynite;0.00395;0.00051
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;Qquartz;0.07303;0.00059
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;QAlbite;0.0603;0.0014
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;QAnhydrite;0.00377;0.00035
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;Rwp;8.3300;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;Rexp;7.1900;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;Chi2;1.3422;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131back.lst;000131back;;GOF;1.1586;
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;QCalcite;0.8101;0.0044
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;Qgypsum;0.0258;0.0015
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;Qquartz;0.1024;0.0014
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;Qchiolite;0.022;0.0027
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;Qanorthite;0;0
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;Qplag16an;0.0397;0.0039
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000131dark.lst;000131dark;;Rwp;5.3600;
