File;Sample;Sample ID;Parameter, Goal;Value;ESD
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;QCalcite;0.8467;0.0031,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Qquartz;0.05582;0.00071,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Qmusc2m1;0.0232;0.0011,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Qchlorite2b;0.01263;0.00084,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Qdolomite;0.01662;0.00071,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Qanorthite;0.0269;0.0031,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;QAlbite;0.0182;0.0014,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Rwp;11.6500;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Rexp;7.3600;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;Chi2;2.5055;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000612.lst;000612;;GOF;1.5829;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;QCalcite;0.8081;0.0034,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;Qdolomite;0.1799;0.0034,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;Qwitherite;0.012;0.001,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;Rwp;5.4100;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;Rexp;5.9100;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;Chi2;0.8380;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000632.lst;000632;;GOF;0.9154;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000636.lst;000636;;QCalcite;0.9915;0.0012,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000636.lst;000636;;Qquartz;0.0085;0.0012,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000636.lst;000636;;Rwp;5.7600;,
E:/nextcloud/ISicily/petrography/processing/XRD/ISic XRD/000636.lst;000636;;Rexp;6.1100;,
